gene	ontology	GO_id	GO_name
fig|657321.5.peg.2|RBR_00110	MF	GO:0016787	hydrolase activity
fig|657321.5.peg.4|RBR_00130	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.5|RBR_00140	MF	GO:0003677	DNA binding
fig|657321.5.peg.6|RBR_00150	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.7|RBR_00160	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.8|RBR_00170	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.10|RBR_00180	MF	GO:0042132	fructose 1,6-bisphosphate 1-phosphatase activity
fig|657321.5.peg.10|RBR_00180	BP	GO:0006094	gluconeogenesis
fig|657321.5.peg.11|RBR_00190	MF	GO:0051082	unfolded protein binding
fig|657321.5.peg.11|RBR_00190	BP	GO:0006457	protein folding
fig|657321.5.peg.11|RBR_00190	CC	GO:0005737	cytoplasm
fig|657321.5.peg.12|RBR_00200	MF	GO:0008484	sulfuric ester hydrolase activity
fig|657321.5.peg.12|RBR_00200	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.12|RBR_00200	BP	GO:0055085	transmembrane transport
fig|657321.5.peg.14	MF	GO:0008233	peptidase activity
fig|657321.5.peg.14	BP	GO:0006508	proteolysis
fig|657321.5.peg.15|RBR_00220	MF	GO:0051537	2 iron, 2 sulfur cluster binding
fig|657321.5.peg.15|RBR_00220	BP	GO:0006221	pyrimidine nucleotide biosynthetic process
fig|657321.5.peg.16|RBR_00230	MF	GO:0004152	dihydroorotate dehydrogenase activity
fig|657321.5.peg.16|RBR_00230	BP	GO:0006207	de novo pyrimidine nucleobase biosynthetic process
fig|657321.5.peg.16|RBR_00230	CC	GO:0005737	cytoplasm
fig|657321.5.peg.17|RBR_00240	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.18|RBR_00250	MF	GO:0030246	carbohydrate binding
fig|657321.5.peg.18|RBR_00250	BP	GO:0005975	carbohydrate metabolic process
fig|657321.5.peg.20|RBR_00260	MF	GO:0043565	sequence-specific DNA binding
fig|657321.5.peg.20|RBR_00260	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.21|RBR_00270	MF	GO:0016868	intramolecular transferase activity, phosphotransferases
fig|657321.5.peg.21|RBR_00270	BP	GO:0005975	carbohydrate metabolic process
fig|657321.5.peg.24|RBR_00290	CC	GO:0000159	protein phosphatase type 2A complex
fig|657321.5.peg.24|RBR_00290	MF	GO:0019888	protein phosphatase regulator activity
fig|657321.5.peg.24|RBR_00290	BP	GO:0043666	regulation of phosphoprotein phosphatase activity
fig|657321.5.peg.25	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.26	MF	GO:0016887	ATPase activity
fig|657321.5.peg.26	BP	GO:0006438	valyl-tRNA aminoacylation
fig|657321.5.peg.26	CC	GO:0005737	cytoplasm
fig|657321.5.peg.29|RBR_00340	MF	GO:0000150	recombinase activity
fig|657321.5.peg.29|RBR_00340	BP	GO:0006310	DNA recombination
fig|657321.5.peg.31|RBR_00360	MF	GO:0004519	endonuclease activity
fig|657321.5.peg.31|RBR_00360	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|657321.5.peg.33|RBR_00380	MF	GO:0016987	sigma factor activity
fig|657321.5.peg.33|RBR_00380	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|657321.5.peg.35|RBR_00400	BP	GO:0006855	drug transmembrane transport
fig|657321.5.peg.35|RBR_00400	MF	GO:0015238	drug transmembrane transporter activity
fig|657321.5.peg.35|RBR_00400	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.36|RBR_00410	MF	GO:0003677	DNA binding
fig|657321.5.peg.37|RBR_00420	MF	GO:0016740	transferase activity
fig|657321.5.peg.38|RBR_00430	MF	GO:0043565	sequence-specific DNA binding
fig|657321.5.peg.38|RBR_00430	BP	GO:0006355	regulation of transcription, DNA-templated
fig|657321.5.peg.39|RBR_00440	MF	GO:0043565	sequence-specific DNA binding
fig|657321.5.peg.40|RBR_00450	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.40|RBR_00450	MF	GO:0016787	hydrolase activity
fig|657321.5.peg.41|RBR_00460	MF	GO:0016787	hydrolase activity
fig|657321.5.peg.41|RBR_00460	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.43|RBR_00480	MF	GO:0005524	ATP binding
fig|657321.5.peg.44	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.45	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.46|RBR_00510	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.47|RBR_00520	MF	GO:0016740	transferase activity
fig|657321.5.peg.47|RBR_00520	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.48|RBR_00530	BP	GO:0009291	unidirectional conjugation
fig|657321.5.peg.48|RBR_00530	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.53|RBR_00580	BP	GO:0006355	regulation of transcription, DNA-templated
fig|657321.5.peg.54|RBR_00590	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.56	MF	GO:0016853	isomerase activity
fig|657321.5.peg.57|RBR_00630	MF	GO:0004518	nuclease activity
fig|657321.5.peg.57|RBR_00630	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|657321.5.peg.58|RBR_00640	BP	GO:0007165	signal transduction
fig|657321.5.peg.58|RBR_00640	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.60|RBR_00660	MF	GO:0004386	helicase activity
fig|657321.5.peg.60|RBR_00660	BP	GO:0032259	methylation
fig|657321.5.peg.62|RBR_00680	CC	GO:0046821	extrachromosomal DNA
fig|657321.5.peg.62|RBR_00680	BP	GO:0006310	DNA recombination
fig|657321.5.peg.62|RBR_00680	MF	GO:0003677	DNA binding
fig|657321.5.peg.65|RBR_00700	MF	GO:0019239	deaminase activity
fig|657321.5.peg.67	MF	GO:0000150	recombinase activity
fig|657321.5.peg.67	BP	GO:0006310	DNA recombination
fig|657321.5.peg.68|RBR_00730	MF	GO:0003677	DNA binding
fig|657321.5.peg.72|RBR_00760	BP	GO:0009291	unidirectional conjugation
fig|657321.5.peg.72|RBR_00760	CC	GO:0016020	membrane
fig|657321.5.peg.73|RBR_00770	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.74|RBR_00780	MF	GO:0043565	sequence-specific DNA binding
fig|657321.5.peg.77|RBR_00810	MF	GO:0043565	sequence-specific DNA binding
fig|657321.5.peg.78|RBR_00840	MF	GO:0016740	transferase activity
fig|657321.5.peg.79|RBR_00860	MF	GO:0016740	transferase activity
fig|657321.5.peg.80	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.84|RBR_00900	MF	GO:0000150	recombinase activity
fig|657321.5.peg.84|RBR_00900	BP	GO:0006310	DNA recombination
fig|657321.5.peg.85	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.86|RBR_00920	MF	GO:0008168	methyltransferase activity
fig|657321.5.peg.86|RBR_00920	BP	GO:0032259	methylation
fig|657321.5.peg.87|RBR_00930	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.89|RBR_00950	MF	GO:0015667	site-specific DNA-methyltransferase (cytosine-N4-specific) activity
fig|657321.5.peg.89|RBR_00950	BP	GO:0090124	N-4 methylation of cytosine
fig|657321.5.peg.90	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.90	MF	GO:0016787	hydrolase activity
fig|657321.5.peg.91|RBR_00970	MF	GO:0003824	catalytic activity
fig|657321.5.peg.93|RBR_00990	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.94|RBR_01000	MF	GO:0003917	DNA topoisomerase type I activity
fig|657321.5.peg.94|RBR_01000	BP	GO:0006265	DNA topological change
fig|657321.5.peg.95|RBR_01020	MF	GO:0008168	methyltransferase activity
fig|657321.5.peg.95|RBR_01020	BP	GO:0032259	methylation
fig|657321.5.peg.97|RBR_01040	MF	GO:0004519	endonuclease activity
fig|657321.5.peg.97|RBR_01040	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|657321.5.peg.98|RBR_01070	MF	GO:0043565	sequence-specific DNA binding
fig|657321.5.peg.99|RBR_01090	MF	GO:0008173	RNA methyltransferase activity
fig|657321.5.peg.99|RBR_01090	BP	GO:0001510	RNA methylation
fig|657321.5.peg.99|RBR_01090	CC	GO:0005737	cytoplasm
fig|657321.5.peg.100|RBR_01100	MF	GO:0016987	sigma factor activity
fig|657321.5.peg.100|RBR_01100	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|657321.5.peg.103|RBR_01150	MF	GO:0000150	recombinase activity
fig|657321.5.peg.103|RBR_01150	BP	GO:0006310	DNA recombination
fig|657321.5.peg.104|RBR_01160	MF	GO:0000150	recombinase activity
fig|657321.5.peg.104|RBR_01160	BP	GO:0006310	DNA recombination
fig|657321.5.peg.105|RBR_01170	MF	GO:0004386	helicase activity
fig|657321.5.peg.105|RBR_01170	BP	GO:0032259	methylation
fig|657321.5.peg.106|RBR_01180	MF	GO:0000166	nucleotide binding
fig|657321.5.peg.111|RBR_01240	MF	GO:0030246	carbohydrate binding
fig|657321.5.peg.111|RBR_01240	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.111|RBR_01240	BP	GO:0006508	proteolysis
fig|657321.5.peg.112	MF	GO:0003677	DNA binding
fig|657321.5.peg.113|RBR_01260	MF	GO:0016787	hydrolase activity
fig|657321.5.peg.115|RBR_01280	MF	GO:0008173	RNA methyltransferase activity
fig|657321.5.peg.115|RBR_01280	BP	GO:0001510	RNA methylation
fig|657321.5.peg.116|RBR_01290	BP	GO:0006537	glutamate biosynthetic process
fig|657321.5.peg.116|RBR_01290	MF	GO:0016639	oxidoreductase activity, acting on the CH-NH2 group of donors, NAD or NADP as acceptor
fig|657321.5.peg.117|RBR_01300	MF	GO:0015930	glutamate synthase activity
fig|657321.5.peg.117|RBR_01300	BP	GO:0006537	glutamate biosynthetic process
fig|657321.5.peg.118|RBR_01310	MF	GO:0004356	glutamate-ammonia ligase activity
fig|657321.5.peg.118|RBR_01310	BP	GO:0006807	nitrogen compound metabolic process
fig|657321.5.peg.119|RBR_01320	MF	GO:0008519	ammonium transmembrane transporter activity
fig|657321.5.peg.119|RBR_01320	BP	GO:0006808	regulation of nitrogen utilization
fig|657321.5.peg.119|RBR_01320	CC	GO:0016020	membrane
fig|657321.5.peg.120|RBR_01330	MF	GO:0000150	recombinase activity
fig|657321.5.peg.120|RBR_01330	BP	GO:0006310	DNA recombination
fig|657321.5.peg.122	BP	GO:0000160	phosphorelay signal transduction system
fig|657321.5.peg.122	MF	GO:0003723	RNA binding
fig|657321.5.peg.123|RBR_01360	MF	GO:0004088	carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity
fig|657321.5.peg.123|RBR_01360	BP	GO:0006207	de novo pyrimidine nucleobase biosynthetic process
fig|657321.5.peg.124|RBR_01370	MF	GO:0008837	diaminopimelate epimerase activity
fig|657321.5.peg.124|RBR_01370	BP	GO:0046451	diaminopimelate metabolic process
fig|657321.5.peg.124|RBR_01370	CC	GO:0005737	cytoplasm
fig|657321.5.peg.125	MF	GO:0003883	CTP synthase activity
fig|657321.5.peg.125	BP	GO:0006241	CTP biosynthetic process
fig|657321.5.peg.125	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.126|RBR_01390	BP	GO:0033362	lysine biosynthetic process via diaminopimelate, diaminopimelate-aminotransferase pathway
fig|657321.5.peg.126|RBR_01390	MF	GO:0010285	L,L-diaminopimelate aminotransferase activity
fig|657321.5.peg.127|RBR_01400	MF	GO:0004820	glycine-tRNA ligase activity
fig|657321.5.peg.127|RBR_01400	BP	GO:0006426	glycyl-tRNA aminoacylation
fig|657321.5.peg.127|RBR_01400	CC	GO:0005737	cytoplasm
fig|657321.5.peg.128|RBR_01410	BP	GO:0000272	polysaccharide catabolic process
fig|657321.5.peg.128|RBR_01410	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|657321.5.peg.129|RBR_01420	MF	GO:0004061	arylformamidase activity
fig|657321.5.peg.129|RBR_01420	BP	GO:0019441	tryptophan catabolic process to kynurenine
fig|657321.5.peg.130|RBR_01430	MF	GO:0016787	hydrolase activity
fig|657321.5.peg.130|RBR_01430	BP	GO:0016311	dephosphorylation
fig|657321.5.peg.131	MF	GO:0052693	epoxyqueuosine reductase activity
fig|657321.5.peg.131	BP	GO:0008616	queuosine biosynthetic process
fig|657321.5.peg.722|RBR_01450	MF	GO:0008965	phosphoenolpyruvate-protein phosphotransferase activity
fig|657321.5.peg.722|RBR_01450	BP	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
fig|657321.5.peg.722|RBR_01450	CC	GO:0005737	cytoplasm
fig|657321.5.peg.723|RBR_01460	MF	GO:0016740	transferase activity
fig|657321.5.peg.724|RBR_01470	MF	GO:0022877	protein-N(PI)-phosphohistidine-fructose phosphotransferase system transporter activity
fig|657321.5.peg.724|RBR_01470	BP	GO:0015755	fructose transmembrane transport
fig|657321.5.peg.724|RBR_01470	CC	GO:0005886	plasma membrane
fig|657321.5.peg.725|RBR_01480	MF	GO:0008662	1-phosphofructokinase activity
fig|657321.5.peg.725|RBR_01480	BP	GO:2001058	D-tagatose 6-phosphate metabolic process
fig|657321.5.peg.726|RBR_01490	MF	GO:0003700	DNA-binding transcription factor activity
fig|657321.5.peg.726|RBR_01490	BP	GO:0006355	regulation of transcription, DNA-templated
fig|657321.5.peg.727|RBR_01500	MF	GO:0016301	kinase activity
fig|657321.5.peg.727|RBR_01500	BP	GO:0016310	phosphorylation
fig|657321.5.peg.728|RBR_01510	MF	GO:0008998	ribonucleoside-triphosphate reductase activity
fig|657321.5.peg.728|RBR_01510	BP	GO:0006260	DNA replication
fig|657321.5.peg.729|RBR_01520	MF	GO:0043365	[formate-C-acetyltransferase]-activating enzyme activity
fig|657321.5.peg.729|RBR_01520	BP	GO:0055114	oxidation-reduction process
fig|657321.5.peg.730|RBR_01530	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.731|RBR_01540	MF	GO:0004072	aspartate kinase activity
fig|657321.5.peg.731|RBR_01540	BP	GO:0046451	diaminopimelate metabolic process
fig|657321.5.peg.732|RBR_01550	MF	GO:0004412	homoserine dehydrogenase activity
fig|657321.5.peg.732|RBR_01550	BP	GO:0009088	threonine biosynthetic process
fig|657321.5.peg.733|RBR_01560	MF	GO:0008658	penicillin binding
fig|657321.5.peg.733|RBR_01560	CC	GO:0016021	integral component of membrane
fig|657321.5.peg.733|RBR_01560	BP	GO:0006508	proteolysis
fig|657321.5.peg.736|RBR_01590	MF	GO:0018580	nitronate monooxygenase activity
fig|657321.5.peg.736|RBR_01590	BP	GO:0055114	oxidation-reduction process
fig|657321.5.peg.737|RBR_01600	MF	GO:0004314	[acyl-carrier-protein] S-malonyltransferase activity
fig|657321.5.peg.737|RBR_01600	BP	GO:0006633	fatty acid biosynthetic process
fig|657321.5.peg.737|RBR_01600	CC	GO:0005829	cytosol
fig|657321.5.peg.738|RBR_01610	MF	GO:0004316	3-oxoacyl-[acyl-carrier-protein] reductase (NADPH) activity
fig|657321.5.peg.738|RBR_01610	BP	GO:0006633	fatty acid biosynthetic process
fig|657321.5.peg.739|RBR_01620	MF	GO:0033817	beta-ketoacyl-acyl-carrier-protein synthase II activity
fig|657321.5.peg.739|RBR_01620	BP	GO:0006633	fatty acid biosynthetic process
