gene	ontology	GO_id	GO_name
fig|748224.3.peg.1|HMPREF9436_00001	MF	GO:0061505	DNA topoisomerase II activity
fig|748224.3.peg.1|HMPREF9436_00001	BP	GO:0006265	DNA topological change
fig|748224.3.peg.1|HMPREF9436_00001	CC	GO:0005694	chromosome
fig|748224.3.peg.2|HMPREF9436_00002	MF	GO:0061505	DNA topoisomerase II activity
fig|748224.3.peg.2|HMPREF9436_00002	BP	GO:0006265	DNA topological change
fig|748224.3.peg.2|HMPREF9436_00002	CC	GO:0005694	chromosome
fig|748224.3.peg.3|HMPREF9436_00004	MF	GO:0003700	DNA-binding transcription factor activity
fig|748224.3.peg.3|HMPREF9436_00004	BP	GO:0006355	regulation of transcription, DNA-templated
fig|748224.3.peg.4|HMPREF9436_00005	MF	GO:0015293	symporter activity
fig|748224.3.peg.4|HMPREF9436_00005	BP	GO:0055085	transmembrane transport
fig|748224.3.peg.4|HMPREF9436_00005	CC	GO:0016021	integral component of membrane
fig|748224.3.peg.5|HMPREF9436_00006	MF	GO:0003941	L-serine ammonia-lyase activity
fig|748224.3.peg.5|HMPREF9436_00006	BP	GO:0006094	gluconeogenesis
fig|748224.3.peg.6|HMPREF9436_00007	MF	GO:0003941	L-serine ammonia-lyase activity
fig|748224.3.peg.6|HMPREF9436_00007	BP	GO:0006094	gluconeogenesis
fig|748224.3.peg.7|HMPREF9436_00009	MF	GO:0004342	glucosamine-6-phosphate deaminase activity
fig|748224.3.peg.7|HMPREF9436_00009	BP	GO:0006044	N-acetylglucosamine metabolic process
fig|748224.3.peg.8|HMPREF9436_00010	MF	GO:0004725	protein tyrosine phosphatase activity
fig|748224.3.peg.8|HMPREF9436_00010	BP	GO:0035335	peptidyl-tyrosine dephosphorylation
fig|748224.3.peg.9|HMPREF9436_00012	BP	GO:0006402	mRNA catabolic process
fig|748224.3.peg.9|HMPREF9436_00012	MF	GO:0004521	endoribonuclease activity
fig|748224.3.peg.9|HMPREF9436_00012	CC	GO:0005886	plasma membrane
fig|748224.3.peg.11|HMPREF9436_00015	CC	GO:0043190	ATP-binding cassette (ABC) transporter complex
fig|748224.3.peg.11|HMPREF9436_00015	BP	GO:0055085	transmembrane transport
fig|748224.3.peg.12|HMPREF9436_00016	BP	GO:0055085	transmembrane transport
fig|748224.3.peg.12|HMPREF9436_00016	CC	GO:0005886	plasma membrane
fig|748224.3.peg.13|HMPREF9436_00017	BP	GO:0055085	transmembrane transport
fig|748224.3.peg.13|HMPREF9436_00017	CC	GO:0005886	plasma membrane
fig|748224.3.peg.14|HMPREF9436_00018	BP	GO:0015833	peptide transport
fig|748224.3.peg.14|HMPREF9436_00018	MF	GO:0016887	ATPase activity
fig|748224.3.peg.14|HMPREF9436_00018	CC	GO:0016021	integral component of membrane
fig|748224.3.peg.15|HMPREF9436_00019	BP	GO:0015833	peptide transport
fig|748224.3.peg.15|HMPREF9436_00019	MF	GO:0016887	ATPase activity
fig|748224.3.peg.16|HMPREF9436_00020	MF	GO:0016740	transferase activity
fig|748224.3.peg.16|HMPREF9436_00020	CC	GO:0016021	integral component of membrane
fig|748224.3.peg.20|HMPREF9436_00026	MF	GO:0016740	transferase activity
fig|748224.3.peg.21|HMPREF9436_00027	MF	GO:0005384	manganese ion transmembrane transporter activity
fig|748224.3.peg.21|HMPREF9436_00027	BP	GO:0071421	manganese ion transmembrane transport
fig|748224.3.peg.21|HMPREF9436_00027	CC	GO:0005886	plasma membrane
fig|748224.3.peg.22|HMPREF9436_00028	MF	GO:0003700	DNA-binding transcription factor activity
fig|748224.3.peg.22|HMPREF9436_00028	BP	GO:0006355	regulation of transcription, DNA-templated
fig|748224.3.peg.23|HMPREF9436_00030	CC	GO:0016021	integral component of membrane
fig|748224.3.peg.24|HMPREF9436_00031	CC	GO:0016021	integral component of membrane
fig|748224.3.peg.25|HMPREF9436_00032	MF	GO:0051536	iron-sulfur cluster binding
fig|748224.3.peg.25|HMPREF9436_00032	BP	GO:0055114	oxidation-reduction process
fig|748224.3.peg.26|HMPREF9436_00033	BP	GO:0006855	drug transmembrane transport
fig|748224.3.peg.26|HMPREF9436_00033	MF	GO:0015238	drug transmembrane transporter activity
fig|748224.3.peg.26|HMPREF9436_00033	CC	GO:0016020	membrane
