gene	ontology	GO_id	GO_name
fig|552396.3.peg.1|HMPREF0863_00001	MF	GO:0003899	DNA-directed 5-3 RNA polymerase activity
fig|552396.3.peg.1|HMPREF0863_00001	BP	GO:0006351	transcription, DNA-templated
fig|552396.3.peg.2|HMPREF0863_00002	MF	GO:0003899	DNA-directed 5-3 RNA polymerase activity
fig|552396.3.peg.2|HMPREF0863_00002	BP	GO:0006351	transcription, DNA-templated
fig|552396.3.peg.3|HMPREF0863_00003	MF	GO:0008168	methyltransferase activity
fig|552396.3.peg.3|HMPREF0863_00003	BP	GO:0032259	methylation
fig|552396.3.peg.4|HMPREF0863_00004	MF	GO:0003735	structural constituent of ribosome
fig|552396.3.peg.4|HMPREF0863_00004	BP	GO:0006412	translation
fig|552396.3.peg.4|HMPREF0863_00004	CC	GO:0005840	ribosome
fig|552396.3.peg.5|HMPREF0863_00005	MF	GO:0070180	large ribosomal subunit rRNA binding
fig|552396.3.peg.5|HMPREF0863_00005	BP	GO:0042254	ribosome biogenesis
fig|552396.3.peg.5|HMPREF0863_00005	CC	GO:0005840	ribosome
fig|552396.3.peg.6|HMPREF0863_00006	CC	GO:0015934	large ribosomal subunit
fig|552396.3.peg.6|HMPREF0863_00006	BP	GO:0006417	regulation of translation
fig|552396.3.peg.6|HMPREF0863_00006	MF	GO:0000049	tRNA binding
fig|552396.3.peg.7|HMPREF0863_00007	MF	GO:0070180	large ribosomal subunit rRNA binding
fig|552396.3.peg.7|HMPREF0863_00007	BP	GO:0006412	translation
fig|552396.3.peg.7|HMPREF0863_00007	CC	GO:0005840	ribosome
fig|552396.3.peg.8|HMPREF0863_00008	MF	GO:0003844	1,4-alpha-glucan branching enzyme activity
fig|552396.3.peg.8|HMPREF0863_00008	BP	GO:0005978	glycogen biosynthetic process
fig|552396.3.peg.9|HMPREF0863_00009	MF	GO:0016868	intramolecular transferase activity, phosphotransferases
fig|552396.3.peg.9|HMPREF0863_00009	BP	GO:0005975	carbohydrate metabolic process
fig|552396.3.peg.10|HMPREF0863_00010	BP	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
fig|552396.3.peg.10|HMPREF0863_00010	CC	GO:0005737	cytoplasm
fig|552396.3.peg.10|HMPREF0863_00010	MF	GO:0016740	transferase activity
fig|552396.3.peg.11|HMPREF0863_00011	MF	GO:0004731	purine-nucleoside phosphorylase activity
fig|552396.3.peg.12|HMPREF0863_00012	MF	GO:0061929	gamma-glutamylaminecyclotransferase activity
fig|552396.3.peg.12|HMPREF0863_00012	BP	GO:0042219	cellular modified amino acid catabolic process
fig|552396.3.peg.13|HMPREF0863_00013	MF	GO:0016920	pyroglutamyl-peptidase activity
fig|552396.3.peg.13|HMPREF0863_00013	CC	GO:0005829	cytosol
fig|552396.3.peg.13|HMPREF0863_00013	BP	GO:0006508	proteolysis
fig|552396.3.peg.14|HMPREF0863_00014	CC	GO:0016021	integral component of membrane
fig|552396.3.peg.15|HMPREF0863_00015	CC	GO:0016021	integral component of membrane
fig|552396.3.peg.17|HMPREF0863_00017	MF	GO:0033918	kappa-carrageenase activity
fig|552396.3.peg.17|HMPREF0863_00017	BP	GO:0008152	metabolic process
fig|552396.3.peg.19|HMPREF0863_00019	CC	GO:0016021	integral component of membrane
fig|552396.3.peg.20|HMPREF0863_00020	MF	GO:0009381	excinuclease ABC activity
fig|552396.3.peg.20|HMPREF0863_00020	CC	GO:0009380	excinuclease repair complex
