gene	ontology	GO_id	GO_name
fig|449673.7.peg.2|BACSTE_00020	CC	GO:0009279	cell outer membrane
fig|449673.7.peg.4|BACSTE_00017	CC	GO:0009279	cell outer membrane
fig|449673.7.peg.5|BACSTE_00005	BP	GO:0015074	DNA integration
fig|449673.7.peg.5|BACSTE_00005	MF	GO:0003677	DNA binding
fig|449673.7.peg.9|BACSTE_00724	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.10|BACSTE_00726	MF	GO:0003677	DNA binding
fig|449673.7.peg.11|BACSTE_00727	MF	GO:0004386	helicase activity
fig|449673.7.peg.12|BACSTE_00728	MF	GO:0003677	DNA binding
fig|449673.7.peg.13|BACSTE_00729	BP	GO:0006304	DNA modification
fig|449673.7.peg.13|BACSTE_00729	MF	GO:0008168	methyltransferase activity
fig|449673.7.peg.14|BACSTE_00730	MF	GO:0009036	type II site-specific deoxyribonuclease activity
fig|449673.7.peg.14|BACSTE_00730	BP	GO:0009307	DNA restriction-modification system
fig|449673.7.peg.15|BACSTE_00731	MF	GO:0008168	methyltransferase activity
fig|449673.7.peg.15|BACSTE_00731	BP	GO:0032259	methylation
fig|449673.7.peg.16|BACSTE_00732	MF	GO:0005524	ATP binding
fig|449673.7.peg.17|BACSTE_00733	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.18|BACSTE_00734	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.19|BACSTE_00735	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.20|BACSTE_00736	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.23|BACSTE_00739	MF	GO:0005524	ATP binding
fig|449673.7.peg.24|BACSTE_00740	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.25|BACSTE_00741	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.26|BACSTE_00742	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.31|BACSTE_00748	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.37|BACSTE_00754	CC	GO:0009279	cell outer membrane
fig|449673.7.peg.38|BACSTE_00755	MF	GO:0000155	phosphorelay sensor kinase activity
fig|449673.7.peg.38|BACSTE_00755	BP	GO:0023014	signal transduction by protein phosphorylation
fig|449673.7.peg.38|BACSTE_00755	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.44|BACSTE_00764	MF	GO:0003677	DNA binding
fig|449673.7.peg.46|BACSTE_00765	BP	GO:0015074	DNA integration
fig|449673.7.peg.46|BACSTE_00765	MF	GO:0003677	DNA binding
fig|449673.7.peg.47|BACSTE_00766	BP	GO:0015074	DNA integration
fig|449673.7.peg.47|BACSTE_00766	MF	GO:0003677	DNA binding
fig|449673.7.peg.48|BACSTE_00767	BP	GO:0015074	DNA integration
fig|449673.7.peg.48|BACSTE_00767	MF	GO:0003677	DNA binding
fig|449673.7.peg.49|BACSTE_00768	MF	GO:0003677	DNA binding
fig|449673.7.peg.51|BACSTE_00770	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.52|BACSTE_00772	BP	GO:0006304	DNA modification
fig|449673.7.peg.52|BACSTE_00772	MF	GO:0008168	methyltransferase activity
fig|449673.7.peg.53|BACSTE_00773	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.54|BACSTE_00774	MF	GO:0004803	transposase activity
fig|449673.7.peg.54|BACSTE_00774	BP	GO:0006313	transposition, DNA-mediated
fig|449673.7.peg.54|BACSTE_00774	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.55|BACSTE_00775	MF	GO:0008234	cysteine-type peptidase activity
fig|449673.7.peg.55|BACSTE_00775	BP	GO:0006508	proteolysis
fig|449673.7.peg.55|BACSTE_00775	CC	GO:0016021	integral component of membrane
fig|449673.7.peg.61|BACSTE_00780	CC	GO:0009279	cell outer membrane
fig|449673.7.peg.61|BACSTE_00780	MF	GO:0004180	carboxypeptidase activity
fig|449673.7.peg.61|BACSTE_00780	BP	GO:0006508	proteolysis
