gene	ontology	GO_id	GO_name
fig|411901.7.peg.3|BACCAC_00004	CC	GO:0031012	extracellular matrix
fig|411901.7.peg.3|BACCAC_00004	MF	GO:0008237	metallopeptidase activity
fig|411901.7.peg.3|BACCAC_00004	BP	GO:0006508	proteolysis
fig|411901.7.peg.4|BACCAC_00006	MF	GO:0048037	cofactor binding
fig|411901.7.peg.5|BACCAC_00007	MF	GO:0000155	phosphorelay sensor kinase activity
fig|411901.7.peg.5|BACCAC_00007	BP	GO:0023014	signal transduction by protein phosphorylation
fig|411901.7.peg.5|BACCAC_00007	CC	GO:0016021	integral component of membrane
fig|411901.7.peg.6|BACCAC_00009	CC	GO:0009279	cell outer membrane
fig|411901.7.peg.6|BACCAC_00009	MF	GO:0004181	metallocarboxypeptidase activity
fig|411901.7.peg.6|BACCAC_00009	BP	GO:0016485	protein processing
fig|411901.7.peg.10|BACCAC_00013	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|411901.7.peg.10|BACCAC_00013	BP	GO:0005975	carbohydrate metabolic process
fig|411901.7.peg.11|BACCAC_00014	MF	GO:0102211	unsaturated rhamnogalacturonyl hydrolase activity
fig|411901.7.peg.11|BACCAC_00014	BP	GO:0008152	metabolic process
fig|411901.7.peg.12|BACCAC_00015	CC	GO:0009279	cell outer membrane
fig|411901.7.peg.14|BACCAC_00017	MF	GO:0016787	hydrolase activity
fig|411901.7.peg.15|BACCAC_00018	MF	GO:0016787	hydrolase activity
fig|411901.7.peg.15|BACCAC_00018	BP	GO:0016311	dephosphorylation
fig|411901.7.peg.16|BACCAC_00019	MF	GO:0004423	iduronate-2-sulfatase activity
fig|411901.7.peg.16|BACCAC_00019	CC	GO:0016021	integral component of membrane
fig|411901.7.peg.17|BACCAC_00020	MF	GO:0016787	hydrolase activity
fig|411901.7.peg.17|BACCAC_00020	BP	GO:0000272	polysaccharide catabolic process
fig|411901.7.peg.18|BACCAC_00021	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|411901.7.peg.18|BACCAC_00021	BP	GO:0005975	carbohydrate metabolic process
fig|411901.7.peg.19|BACCAC_00022	MF	GO:0003824	catalytic activity
fig|411901.7.peg.20|BACCAC_00023	MF	GO:0003824	catalytic activity
fig|411901.7.peg.21|BACCAC_00024	BP	GO:0006270	DNA replication initiation
fig|411901.7.peg.21|BACCAC_00024	MF	GO:0003677	DNA binding
fig|411901.7.peg.22|BACCAC_00025	BP	GO:0045454	cell redox homeostasis
fig|411901.7.peg.22|BACCAC_00025	CC	GO:0005623	cell
fig|411901.7.peg.22|BACCAC_00025	MF	GO:0051920	peroxiredoxin activity
fig|411901.7.peg.23|BACCAC_00026	CC	GO:0016021	integral component of membrane
fig|411901.7.peg.24|BACCAC_00027	CC	GO:0016021	integral component of membrane
fig|411901.7.peg.26|BACCAC_00029	MF	GO:0009009	site-specific recombinase activity
fig|411901.7.peg.26|BACCAC_00029	BP	GO:0007059	chromosome segregation
fig|411901.7.peg.26|BACCAC_00029	CC	GO:0005737	cytoplasm
fig|411901.7.peg.27|BACCAC_00030	MF	GO:0003855	3-dehydroquinate dehydratase activity
fig|411901.7.peg.27|BACCAC_00030	BP	GO:0009423	chorismate biosynthetic process
fig|411901.7.peg.28|BACCAC_00031	MF	GO:0004743	pyruvate kinase activity
fig|411901.7.peg.28|BACCAC_00031	BP	GO:0006096	glycolytic process
fig|411901.7.peg.28|BACCAC_00031	CC	GO:0005829	cytosol
fig|411901.7.peg.29|BACCAC_00032	MF	GO:0008171	O-methyltransferase activity
fig|411901.7.peg.29|BACCAC_00032	BP	GO:0032259	methylation
fig|411901.7.peg.30|BACCAC_00033	BP	GO:0030490	maturation of SSU-rRNA
fig|411901.7.peg.30|BACCAC_00033	CC	GO:0005737	cytoplasm
fig|411901.7.peg.30|BACCAC_00033	MF	GO:0043024	ribosomal small subunit binding
fig|411901.7.peg.31|BACCAC_00034	CC	GO:0005886	plasma membrane
fig|411901.7.peg.33|BACCAC_00035	MF	GO:0003824	catalytic activity
fig|411901.7.peg.33|BACCAC_00035	CC	GO:0016021	integral component of membrane
fig|411901.7.peg.34|BACCAC_00036	MF	GO:0030976	thiamine pyrophosphate binding
fig|411901.7.peg.34|BACCAC_00036	BP	GO:0055114	oxidation-reduction process
fig|411901.7.peg.35|BACCAC_00037	MF	GO:0016903	oxidoreductase activity, acting on the aldehyde or oxo group of donors
fig|411901.7.peg.35|BACCAC_00037	BP	GO:0055114	oxidation-reduction process
fig|411901.7.peg.36|BACCAC_00039	MF	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity
fig|411901.7.peg.36|BACCAC_00039	BP	GO:0043952	protein transport by the Sec complex
fig|411901.7.peg.36|BACCAC_00039	CC	GO:0005886	plasma membrane
fig|411901.7.peg.37|BACCAC_00040	MF	GO:0004222	metalloendopeptidase activity
fig|411901.7.peg.37|BACCAC_00040	BP	GO:0006508	proteolysis
fig|411901.7.peg.37|BACCAC_00040	CC	GO:0030288	outer membrane-bounded periplasmic space
fig|411901.7.peg.38|BACCAC_00041	MF	GO:0004518	nuclease activity
fig|411901.7.peg.38|BACCAC_00041	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|411901.7.peg.38|BACCAC_00041	CC	GO:0016021	integral component of membrane
fig|411901.7.peg.324|BACCAC_00348	BP	GO:0009166	nucleotide catabolic process
fig|411901.7.peg.324|BACCAC_00348	MF	GO:0016788	hydrolase activity, acting on ester bonds
fig|411901.7.peg.751|BACCAC_00802	BP	GO:0055085	transmembrane transport
fig|411901.7.peg.751|BACCAC_00802	CC	GO:0016021	integral component of membrane
fig|411901.7.peg.752|BACCAC_00803	MF	GO:0003864	3-methyl-2-oxobutanoate hydroxymethyltransferase activity
fig|411901.7.peg.752|BACCAC_00803	BP	GO:0015940	pantothenate biosynthetic process
fig|411901.7.peg.752|BACCAC_00803	CC	GO:0005737	cytoplasm
fig|411901.7.peg.753|BACCAC_00804	MF	GO:0016787	hydrolase activity
fig|411901.7.peg.754|BACCAC_00805	BP	GO:0006855	drug transmembrane transport
fig|411901.7.peg.754|BACCAC_00805	MF	GO:0015238	drug transmembrane transporter activity
fig|411901.7.peg.754|BACCAC_00805	CC	GO:0016021	integral component of membrane
fig|411901.7.peg.755|BACCAC_00806	CC	GO:0005886	plasma membrane
fig|411901.7.peg.756|BACCAC_00807	MF	GO:0016887	ATPase activity
fig|411901.7.peg.757|BACCAC_00808	CC	GO:0005886	plasma membrane
fig|411901.7.peg.757|BACCAC_00808	MF	GO:0016787	hydrolase activity
fig|411901.7.peg.758|BACCAC_00809	MF	GO:0016787	hydrolase activity
fig|411901.7.peg.760|BACCAC_00811	MF	GO:0016787	hydrolase activity
fig|411901.7.peg.760|BACCAC_00811	BP	GO:0016311	dephosphorylation
fig|411901.7.peg.761|BACCAC_00813	MF	GO:0010181	FMN binding
fig|411901.7.peg.762|BACCAC_00812	MF	GO:0008134	transcription factor binding
fig|411901.7.peg.762|BACCAC_00812	BP	GO:0000160	phosphorelay signal transduction system
fig|411901.7.peg.763|BACCAC_00814	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|411901.7.peg.763|BACCAC_00814	MF	GO:0004673	protein histidine kinase activity
fig|411901.7.peg.763|BACCAC_00814	CC	GO:0016021	integral component of membrane
fig|411901.7.peg.764|BACCAC_00815	BP	GO:0006355	regulation of transcription, DNA-templated
fig|411901.7.peg.764|BACCAC_00815	MF	GO:0003677	DNA binding
fig|411901.7.peg.764|BACCAC_00815	CC	GO:0005829	cytosol
fig|411901.7.peg.765|BACCAC_00816	MF	GO:0050418	hydroxylamine reductase activity
fig|411901.7.peg.765|BACCAC_00816	BP	GO:0055114	oxidation-reduction process
fig|411901.7.peg.765|BACCAC_00816	CC	GO:0005737	cytoplasm
fig|411901.7.peg.766|BACCAC_00817	MF	GO:0015210	uracil transmembrane transporter activity
fig|411901.7.peg.766|BACCAC_00817	BP	GO:0015857	uracil transport
fig|411901.7.peg.766|BACCAC_00817	CC	GO:0016021	integral component of membrane
fig|411901.7.peg.767|BACCAC_00818	MF	GO:0005451	monovalent cation:proton antiporter activity
fig|411901.7.peg.767|BACCAC_00818	BP	GO:0006813	potassium ion transport
fig|411901.7.peg.767|BACCAC_00818	CC	GO:0005886	plasma membrane
fig|411901.7.peg.768|BACCAC_00819	MF	GO:0016874	ligase activity
fig|411901.7.peg.768|BACCAC_00819	BP	GO:0001676	long-chain fatty acid metabolic process
fig|411901.7.peg.769|BACCAC_00820	MF	GO:0030246	carbohydrate binding
fig|411901.7.peg.769|BACCAC_00820	BP	GO:0008152	metabolic process
fig|411901.7.peg.769|BACCAC_00820	CC	GO:0016021	integral component of membrane
fig|411901.7.peg.771|BACCAC_00821	MF	GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity
fig|411901.7.peg.771|BACCAC_00821	BP	GO:0006044	N-acetylglucosamine metabolic process
fig|411901.7.peg.772|BACCAC_00822	MF	GO:0008448	N-acetylglucosamine-6-phosphate deacetylase activity
