gene	ontology	GO_id	GO_name
fig|1235818.3.peg.1	MF	GO:0008452	RNA ligase activity
fig|1235818.3.peg.1	BP	GO:0006396	RNA processing
fig|1235818.3.peg.2	MF	GO:0016874	ligase activity
fig|1235818.3.peg.3	MF	GO:0016301	kinase activity
fig|1235818.3.peg.3	BP	GO:0016310	phosphorylation
fig|1235818.3.peg.4	MF	GO:0016491	oxidoreductase activity
fig|1235818.3.peg.4	BP	GO:0055114	oxidation-reduction process
fig|1235818.3.peg.4	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.6	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.7	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.9	CC	GO:0019867	outer membrane
fig|1235818.3.peg.10	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.11	MF	GO:0031992	energy transducer activity
fig|1235818.3.peg.11	BP	GO:0044718	siderophore transmembrane transport
fig|1235818.3.peg.11	CC	GO:0030288	outer membrane-bounded periplasmic space
fig|1235818.3.peg.12	BP	GO:0045892	negative regulation of transcription, DNA-templated
fig|1235818.3.peg.12	MF	GO:0003677	DNA binding
fig|1235818.3.peg.13	MF	GO:0008173	RNA methyltransferase activity
fig|1235818.3.peg.13	BP	GO:0001510	RNA methylation
fig|1235818.3.peg.16	MF	GO:0004190	aspartic-type endopeptidase activity
fig|1235818.3.peg.16	BP	GO:0006508	proteolysis
fig|1235818.3.peg.16	CC	GO:0005886	plasma membrane
fig|1235818.3.peg.17	MF	GO:0008270	zinc ion binding
fig|1235818.3.peg.18	MF	GO:0004822	isoleucine-tRNA ligase activity
fig|1235818.3.peg.18	BP	GO:0006428	isoleucyl-tRNA aminoacylation
fig|1235818.3.peg.18	CC	GO:0005737	cytoplasm
fig|1235818.3.peg.19	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.22	MF	GO:0020037	heme binding
fig|1235818.3.peg.22	BP	GO:0022900	electron transport chain
fig|1235818.3.peg.22	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.23	MF	GO:0003676	nucleic acid binding
fig|1235818.3.peg.24	MF	GO:0051920	peroxiredoxin activity
fig|1235818.3.peg.24	BP	GO:0098869	cellular oxidant detoxification
fig|1235818.3.peg.24	CC	GO:0005623	cell
fig|1235818.3.peg.25	MF	GO:0022857	transmembrane transporter activity
fig|1235818.3.peg.25	BP	GO:0055085	transmembrane transport
fig|1235818.3.peg.25	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.26	MF	GO:0009045	xylose isomerase activity
fig|1235818.3.peg.26	BP	GO:0042732	D-xylose metabolic process
fig|1235818.3.peg.26	CC	GO:0005737	cytoplasm
fig|1235818.3.peg.27	MF	GO:0016773	phosphotransferase activity, alcohol group as acceptor
fig|1235818.3.peg.27	BP	GO:0005975	carbohydrate metabolic process
fig|1235818.3.peg.32	MF	GO:0043565	sequence-specific DNA binding
fig|1235818.3.peg.32	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1235818.3.peg.34	MF	GO:0008972	phosphomethylpyrimidine kinase activity
fig|1235818.3.peg.34	BP	GO:0042724	thiamine-containing compound biosynthetic process
fig|1235818.3.peg.34	CC	GO:0005829	cytosol
fig|1235818.3.peg.35	MF	GO:0004314	[acyl-carrier-protein] S-malonyltransferase activity
fig|1235818.3.peg.35	BP	GO:0006633	fatty acid biosynthetic process
fig|1235818.3.peg.36	MF	GO:0003676	nucleic acid binding
fig|1235818.3.peg.36	CC	GO:1990904	ribonucleoprotein complex
fig|1235818.3.peg.37	MF	GO:0018580	nitronate monooxygenase activity
fig|1235818.3.peg.37	BP	GO:0055114	oxidation-reduction process
fig|1235818.3.peg.38	MF	GO:0003824	catalytic activity
fig|1235818.3.peg.39	MF	GO:0003676	nucleic acid binding
fig|1235818.3.peg.43	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.44	MF	GO:0016491	oxidoreductase activity
fig|1235818.3.peg.44	BP	GO:0055114	oxidation-reduction process
fig|1235818.3.peg.45	MF	GO:0016301	kinase activity
fig|1235818.3.peg.45	BP	GO:0016310	phosphorylation
fig|1235818.3.peg.45	CC	GO:0005829	cytosol
fig|1235818.3.peg.46	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.47	BP	GO:0006542	glutamine biosynthetic process
fig|1235818.3.peg.47	MF	GO:0004356	glutamate-ammonia ligase activity
fig|1235818.3.peg.47	CC	GO:0016020	membrane
fig|1235818.3.peg.48	MF	GO:0004812	aminoacyl-tRNA ligase activity
fig|1235818.3.peg.49	MF	GO:0016740	transferase activity
fig|1235818.3.peg.50	BP	GO:0070475	rRNA base methylation
fig|1235818.3.peg.50	MF	GO:0008649	rRNA methyltransferase activity
fig|1235818.3.peg.51	BP	GO:0055085	transmembrane transport
fig|1235818.3.peg.51	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.52	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.53	MF	GO:0000155	phosphorelay sensor kinase activity
fig|1235818.3.peg.53	BP	GO:0023014	signal transduction by protein phosphorylation
fig|1235818.3.peg.53	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.57	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.58	BP	GO:0009116	nucleoside metabolic process
fig|1235818.3.peg.58	MF	GO:0016757	transferase activity, transferring glycosyl groups
fig|1235818.3.peg.60	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.61	BP	GO:0016042	lipid catabolic process
fig|1235818.3.peg.61	MF	GO:0016787	hydrolase activity
fig|1235818.3.peg.62	MF	GO:0016491	oxidoreductase activity
fig|1235818.3.peg.62	BP	GO:0055114	oxidation-reduction process
fig|1235818.3.peg.63	BP	GO:0005975	carbohydrate metabolic process
fig|1235818.3.peg.63	MF	GO:0031216	neopullulanase activity
fig|1235818.3.peg.65	MF	GO:0046820	4-amino-4-deoxychorismate synthase activity
fig|1235818.3.peg.65	BP	GO:0009058	biosynthetic process
fig|1235818.3.peg.66	MF	GO:0016829	lyase activity
fig|1235818.3.peg.66	CC	GO:0005829	cytosol
fig|1235818.3.peg.68	CC	GO:0005829	cytosol
fig|1235818.3.peg.69	MF	GO:0102752	1,4-alpha-glucan branching enzyme activity (using a glucosylated glycogenin as primer for glycogen synthesis)
fig|1235818.3.peg.69	BP	GO:0005978	glycogen biosynthetic process
fig|1235818.3.peg.70	MF	GO:0016740	transferase activity
fig|1235818.3.peg.71	BP	GO:0005975	carbohydrate metabolic process
fig|1235818.3.peg.71	MF	GO:0003824	catalytic activity
fig|1235818.3.peg.71	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.72	BP	GO:0045493	xylan catabolic process
fig|1235818.3.peg.72	MF	GO:0016787	hydrolase activity
fig|1235818.3.peg.73	MF	GO:0015558	secondary active p-aminobenzoyl-glutamate transmembrane transporter activity
fig|1235818.3.peg.73	BP	GO:0015814	p-aminobenzoyl-glutamate transport
fig|1235818.3.peg.73	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.74	BP	GO:0000160	phosphorelay signal transduction system
fig|1235818.3.peg.74	MF	GO:0003677	DNA binding
fig|1235818.3.peg.75	MF	GO:0016301	kinase activity
fig|1235818.3.peg.75	BP	GO:0016310	phosphorylation
fig|1235818.3.peg.76	MF	GO:0016301	kinase activity
fig|1235818.3.peg.76	BP	GO:0016310	phosphorylation
fig|1235818.3.peg.76	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.77	MF	GO:0004749	ribose phosphate diphosphokinase activity
fig|1235818.3.peg.77	BP	GO:0009116	nucleoside metabolic process
fig|1235818.3.peg.77	CC	GO:0002189	ribose phosphate diphosphokinase complex
fig|1235818.3.peg.78	MF	GO:0016301	kinase activity
fig|1235818.3.peg.78	BP	GO:0016310	phosphorylation
fig|1235818.3.peg.79	MF	GO:0046872	metal ion binding
fig|1235818.3.peg.79	BP	GO:0006508	proteolysis
fig|1235818.3.peg.80	BP	GO:0033468	CMP-keto-3-deoxy-D-manno-octulosonic acid biosynthetic process
fig|1235818.3.peg.80	MF	GO:0008690	3-deoxy-manno-octulosonate cytidylyltransferase activity
fig|1235818.3.peg.80	CC	GO:0005737	cytoplasm
fig|1235818.3.peg.81	MF	GO:0003848	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase activity
fig|1235818.3.peg.81	BP	GO:0009396	folic acid-containing compound biosynthetic process
fig|1235818.3.peg.82	MF	GO:0008658	penicillin binding
fig|1235818.3.peg.82	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.82	BP	GO:0006508	proteolysis
fig|1235818.3.peg.83	MF	GO:0004070	aspartate carbamoyltransferase activity
fig|1235818.3.peg.83	BP	GO:0006207	de novo pyrimidine nucleobase biosynthetic process
fig|1235818.3.peg.83	CC	GO:0005829	cytosol
fig|1235818.3.peg.84	CC	GO:0009347	aspartate carbamoyltransferase complex
fig|1235818.3.peg.84	BP	GO:0006207	de novo pyrimidine nucleobase biosynthetic process
fig|1235818.3.peg.84	MF	GO:0046872	metal ion binding
fig|1235818.3.peg.85	MF	GO:0010181	FMN binding
fig|1235818.3.peg.86	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.87	MF	GO:0004372	glycine hydroxymethyltransferase activity
fig|1235818.3.peg.87	BP	GO:0019264	glycine biosynthetic process from serine
fig|1235818.3.peg.87	CC	GO:0005737	cytoplasm
fig|1235818.3.peg.88	MF	GO:0046872	metal ion binding
fig|1235818.3.peg.89	MF	GO:0004329	formate-tetrahydrofolate ligase activity
fig|1235818.3.peg.89	BP	GO:0035999	tetrahydrofolate interconversion
fig|1235818.3.peg.90	MF	GO:0004329	formate-tetrahydrofolate ligase activity
fig|1235818.3.peg.90	BP	GO:0035999	tetrahydrofolate interconversion
fig|1235818.3.peg.93	MF	GO:0043565	sequence-specific DNA binding
fig|1235818.3.peg.93	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1235818.3.peg.95	MF	GO:0051536	iron-sulfur cluster binding
fig|1235818.3.peg.95	BP	GO:0055114	oxidation-reduction process
fig|1235818.3.peg.96	MF	GO:0016740	transferase activity
fig|1235818.3.peg.97	MF	GO:0010181	FMN binding
fig|1235818.3.peg.98	MF	GO:0010181	FMN binding
fig|1235818.3.peg.99	MF	GO:0000155	phosphorelay sensor kinase activity
fig|1235818.3.peg.99	BP	GO:0023014	signal transduction by protein phosphorylation
fig|1235818.3.peg.99	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.100	BP	GO:0000160	phosphorelay signal transduction system
fig|1235818.3.peg.100	MF	GO:0003677	DNA binding
fig|1235818.3.peg.100	CC	GO:0005829	cytosol
fig|1235818.3.peg.103	MF	GO:0008831	dTDP-4-dehydrorhamnose reductase activity
fig|1235818.3.peg.103	BP	GO:0019305	dTDP-rhamnose biosynthetic process
fig|1235818.3.peg.104	MF	GO:0010181	FMN binding
fig|1235818.3.peg.104	CC	GO:0016020	membrane
fig|1235818.3.peg.104	BP	GO:0022900	electron transport chain
fig|1235818.3.peg.105	BP	GO:0055085	transmembrane transport
fig|1235818.3.peg.105	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.106	MF	GO:0016887	ATPase activity
fig|1235818.3.peg.106	BP	GO:0033214	iron assimilation by chelation and transport
fig|1235818.3.peg.106	CC	GO:0005623	cell
fig|1235818.3.peg.108	MF	GO:0005524	ATP binding
fig|1235818.3.peg.109	MF	GO:0043565	sequence-specific DNA binding
fig|1235818.3.peg.109	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1235818.3.peg.110	MF	GO:0043565	sequence-specific DNA binding
fig|1235818.3.peg.110	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1235818.3.peg.111	MF	GO:0043565	sequence-specific DNA binding
fig|1235818.3.peg.111	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1235818.3.peg.112	MF	GO:0016491	oxidoreductase activity
fig|1235818.3.peg.112	BP	GO:0055114	oxidation-reduction process
fig|1235818.3.peg.113	MF	GO:0008270	zinc ion binding
fig|1235818.3.peg.113	BP	GO:0055114	oxidation-reduction process
fig|1235818.3.peg.114	MF	GO:0016787	hydrolase activity
fig|1235818.3.peg.114	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.117	MF	GO:0030170	pyridoxal phosphate binding
fig|1235818.3.peg.117	BP	GO:0009058	biosynthetic process
fig|1235818.3.peg.118	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.119	MF	GO:0000155	phosphorelay sensor kinase activity
fig|1235818.3.peg.119	BP	GO:0023014	signal transduction by protein phosphorylation
fig|1235818.3.peg.119	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.122	MF	GO:0043565	sequence-specific DNA binding
fig|1235818.3.peg.122	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1235818.3.peg.123	MF	GO:0050236	pyridoxine:NADP 4-dehydrogenase activity
fig|1235818.3.peg.123	BP	GO:0055114	oxidation-reduction process
fig|1235818.3.peg.125	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.126	MF	GO:0003677	DNA binding
fig|1235818.3.peg.130	MF	GO:0003677	DNA binding
fig|1235818.3.peg.135	BP	GO:0015074	DNA integration
fig|1235818.3.peg.135	MF	GO:0003677	DNA binding
fig|1235818.3.peg.137	MF	GO:0030170	pyridoxal phosphate binding
fig|1235818.3.peg.137	BP	GO:0009058	biosynthetic process
fig|1235818.3.peg.139	MF	GO:0016740	transferase activity
fig|1235818.3.peg.139	CC	GO:0005840	ribosome
fig|1235818.3.peg.142	MF	GO:0016740	transferase activity
fig|1235818.3.peg.142	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.143	BP	GO:0006310	DNA recombination
fig|1235818.3.peg.143	MF	GO:0003677	DNA binding
fig|1235818.3.peg.144	MF	GO:0022857	transmembrane transporter activity
fig|1235818.3.peg.144	BP	GO:0055085	transmembrane transport
fig|1235818.3.peg.144	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.145	BP	GO:0000917	division septum assembly
fig|1235818.3.peg.145	MF	GO:0005525	GTP binding
fig|1235818.3.peg.145	CC	GO:0005829	cytosol
fig|1235818.3.peg.147	MF	GO:0004034	aldose 1-epimerase activity
fig|1235818.3.peg.147	BP	GO:0019318	hexose metabolic process
fig|1235818.3.peg.148	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.151	BP	GO:0055085	transmembrane transport
fig|1235818.3.peg.151	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.152	MF	GO:0004565	beta-galactosidase activity
fig|1235818.3.peg.152	CC	GO:0009341	beta-galactosidase complex
fig|1235818.3.peg.152	BP	GO:0005975	carbohydrate metabolic process
fig|1235818.3.peg.153	BP	GO:0045493	xylan catabolic process
fig|1235818.3.peg.153	MF	GO:0016798	hydrolase activity, acting on glycosyl bonds
fig|1235818.3.peg.154	MF	GO:0016787	hydrolase activity
fig|1235818.3.peg.155	MF	GO:0016787	hydrolase activity
fig|1235818.3.peg.156	MF	GO:0033819	lipoyl(octanoyl) transferase activity
fig|1235818.3.peg.156	BP	GO:0009249	protein lipoylation
fig|1235818.3.peg.156	CC	GO:0005737	cytoplasm
fig|1235818.3.peg.157	MF	GO:0019829	cation-transporting ATPase activity
fig|1235818.3.peg.157	BP	GO:0099132	ATP hydrolysis coupled cation transmembrane transport
fig|1235818.3.peg.157	CC	GO:0005886	plasma membrane
fig|1235818.3.peg.158	BP	GO:0030001	metal ion transport
fig|1235818.3.peg.158	MF	GO:0046872	metal ion binding
fig|1235818.3.peg.159	CC	GO:0009279	cell outer membrane
fig|1235818.3.peg.159	MF	GO:0004180	carboxypeptidase activity
fig|1235818.3.peg.159	BP	GO:0006508	proteolysis
fig|1235818.3.peg.163	MF	GO:0070043	rRNA (guanine-N7-)-methyltransferase activity
fig|1235818.3.peg.163	BP	GO:0070476	rRNA (guanine-N7)-methylation
fig|1235818.3.peg.163	CC	GO:0005737	cytoplasm
fig|1235818.3.peg.164	MF	GO:0016787	hydrolase activity
fig|1235818.3.peg.164	BP	GO:0032259	methylation
fig|1235818.3.peg.165	MF	GO:0016642	oxidoreductase activity, acting on the CH-NH2 group of donors, disulfide as acceptor
fig|1235818.3.peg.165	BP	GO:0019464	glycine decarboxylation via glycine cleavage system
fig|1235818.3.peg.165	CC	GO:0005960	glycine cleavage complex
fig|1235818.3.peg.166	MF	GO:0016491	oxidoreductase activity
fig|1235818.3.peg.166	BP	GO:0055114	oxidation-reduction process
fig|1235818.3.peg.167	MF	GO:0004519	endonuclease activity
fig|1235818.3.peg.167	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1235818.3.peg.169	MF	GO:0051537	2 iron, 2 sulfur cluster binding
fig|1235818.3.peg.169	CC	GO:0043231	intracellular membrane-bounded organelle
fig|1235818.3.peg.172	MF	GO:0051287	NAD binding
fig|1235818.3.peg.172	BP	GO:0055114	oxidation-reduction process
fig|1235818.3.peg.173	MF	GO:0004648	O-phospho-L-serine:2-oxoglutarate aminotransferase activity
fig|1235818.3.peg.173	BP	GO:0006564	L-serine biosynthetic process
fig|1235818.3.peg.173	CC	GO:0005737	cytoplasm
fig|1235818.3.peg.176	MF	GO:0004386	helicase activity
fig|1235818.3.peg.177	MF	GO:0016491	oxidoreductase activity
fig|1235818.3.peg.177	BP	GO:0055114	oxidation-reduction process
fig|1235818.3.peg.178	BP	GO:0006814	sodium ion transport
fig|1235818.3.peg.178	MF	GO:0051537	2 iron, 2 sulfur cluster binding
fig|1235818.3.peg.178	CC	GO:0005886	plasma membrane
fig|1235818.3.peg.179	CC	GO:0009276	Gram-negative-bacterium-type cell wall
fig|1235818.3.peg.179	BP	GO:0006814	sodium ion transport
fig|1235818.3.peg.179	MF	GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor
fig|1235818.3.peg.180	BP	GO:0006814	sodium ion transport
fig|1235818.3.peg.180	MF	GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor
fig|1235818.3.peg.180	CC	GO:0005886	plasma membrane
fig|1235818.3.peg.181	BP	GO:0006814	sodium ion transport
fig|1235818.3.peg.181	MF	GO:0010181	FMN binding
fig|1235818.3.peg.181	CC	GO:0005886	plasma membrane
fig|1235818.3.peg.182	BP	GO:0006814	sodium ion transport
fig|1235818.3.peg.182	MF	GO:0010181	FMN binding
fig|1235818.3.peg.182	CC	GO:0005886	plasma membrane
fig|1235818.3.peg.183	BP	GO:0006814	sodium ion transport
fig|1235818.3.peg.183	MF	GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor
fig|1235818.3.peg.184	BP	GO:0006814	sodium ion transport
fig|1235818.3.peg.184	MF	GO:0016655	oxidoreductase activity, acting on NAD(P)H, quinone or similar compound as acceptor
fig|1235818.3.peg.185	MF	GO:0004197	cysteine-type endopeptidase activity
fig|1235818.3.peg.185	BP	GO:0006508	proteolysis
fig|1235818.3.peg.187	CC	GO:0019867	outer membrane
fig|1235818.3.peg.188	MF	GO:0015562	efflux transmembrane transporter activity
fig|1235818.3.peg.188	BP	GO:0055085	transmembrane transport
fig|1235818.3.peg.188	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.189	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.189	MF	GO:0004713	protein tyrosine kinase activity
fig|1235818.3.peg.189	BP	GO:0018108	peptidyl-tyrosine phosphorylation
fig|1235818.3.peg.190	MF	GO:0016874	ligase activity
fig|1235818.3.peg.190	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.191	MF	GO:0016740	transferase activity
fig|1235818.3.peg.192	MF	GO:0016740	transferase activity
fig|1235818.3.peg.192	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.193	MF	GO:0016740	transferase activity
fig|1235818.3.peg.195	MF	GO:0016740	transferase activity
fig|1235818.3.peg.196	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.197	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.198	MF	GO:0016740	transferase activity
fig|1235818.3.peg.200	MF	GO:0016740	transferase activity
fig|1235818.3.peg.202	MF	GO:0016740	transferase activity
fig|1235818.3.peg.203	MF	GO:0016740	transferase activity
fig|1235818.3.peg.203	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.204	MF	GO:0016740	transferase activity
fig|1235818.3.peg.205	MF	GO:0016740	transferase activity
fig|1235818.3.peg.205	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.205	BP	GO:0016310	phosphorylation
fig|1235818.3.peg.207	MF	GO:0000155	phosphorelay sensor kinase activity
fig|1235818.3.peg.207	BP	GO:0023014	signal transduction by protein phosphorylation
fig|1235818.3.peg.208	MF	GO:0004519	endonuclease activity
fig|1235818.3.peg.208	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|1235818.3.peg.208	CC	GO:0016021	integral component of membrane
fig|1235818.3.peg.213	BP	GO:0045900	negative regulation of translational elongation
fig|1235818.3.peg.213	MF	GO:0016887	ATPase activity
