gene	ontology	GO_id	GO_name
fig|469610.4.peg.2|HMPREF0189_02301	MF	GO:0004056	argininosuccinate lyase activity
fig|469610.4.peg.2|HMPREF0189_02301	BP	GO:0042450	arginine biosynthetic process via ornithine
fig|469610.4.peg.4|HMPREF0189_02302	MF	GO:0005542	folic acid binding
fig|469610.4.peg.4|HMPREF0189_02302	BP	GO:0044237	cellular metabolic process
fig|469610.4.peg.5|HMPREF0189_02303	MF	GO:0016787	hydrolase activity
fig|469610.4.peg.5|HMPREF0189_02303	BP	GO:0044237	cellular metabolic process
fig|469610.4.peg.6|HMPREF0189_02304	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.7|HMPREF0189_02305	MF	GO:0003700	DNA-binding transcription factor activity
fig|469610.4.peg.7|HMPREF0189_02305	BP	GO:0006355	regulation of transcription, DNA-templated
fig|469610.4.peg.8|HMPREF0189_02306	MF	GO:0015556	C4-dicarboxylate transmembrane transporter activity
fig|469610.4.peg.8|HMPREF0189_02306	BP	GO:0015740	C4-dicarboxylate transport
fig|469610.4.peg.8|HMPREF0189_02306	CC	GO:0005886	plasma membrane
fig|469610.4.peg.9|HMPREF0189_02307	MF	GO:0000104	succinate dehydrogenase activity
fig|469610.4.peg.9|HMPREF0189_02307	BP	GO:0055114	oxidation-reduction process
fig|469610.4.peg.9|HMPREF0189_02307	CC	GO:0016020	membrane
fig|469610.4.peg.10|HMPREF0189_02308	BP	GO:0000160	phosphorelay signal transduction system
fig|469610.4.peg.10|HMPREF0189_02308	MF	GO:0003677	DNA binding
fig|469610.4.peg.11|HMPREF0189_02309	MF	GO:0000155	phosphorelay sensor kinase activity
fig|469610.4.peg.11|HMPREF0189_02309	BP	GO:0023014	signal transduction by protein phosphorylation
fig|469610.4.peg.11|HMPREF0189_02309	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.12|HMPREF0189_02310	MF	GO:0010181	FMN binding
fig|469610.4.peg.12|HMPREF0189_02310	CC	GO:0016020	membrane
fig|469610.4.peg.12|HMPREF0189_02310	BP	GO:0055114	oxidation-reduction process
fig|469610.4.peg.13|HMPREF0189_02311	MF	GO:0003855	3-dehydroquinate dehydratase activity
fig|469610.4.peg.13|HMPREF0189_02311	BP	GO:0009423	chorismate biosynthetic process
fig|469610.4.peg.15|HMPREF0189_02313	BP	GO:0006855	drug transmembrane transport
fig|469610.4.peg.15|HMPREF0189_02313	MF	GO:0015238	drug transmembrane transporter activity
fig|469610.4.peg.15|HMPREF0189_02313	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.16|HMPREF0189_02314	MF	GO:0043546	molybdopterin cofactor binding
fig|469610.4.peg.16|HMPREF0189_02314	BP	GO:0022900	electron transport chain
fig|469610.4.peg.16|HMPREF0189_02314	CC	GO:0042597	periplasmic space
fig|469610.4.peg.18|HMPREF0189_02316	MF	GO:0000104	succinate dehydrogenase activity
fig|469610.4.peg.18|HMPREF0189_02316	BP	GO:0055114	oxidation-reduction process
fig|469610.4.peg.18|HMPREF0189_02316	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.22|HMPREF0189_02319	MF	GO:0004055	argininosuccinate synthase activity
fig|469610.4.peg.22|HMPREF0189_02319	BP	GO:0006526	arginine biosynthetic process
fig|469610.4.peg.22|HMPREF0189_02319	CC	GO:0005737	cytoplasm
fig|469610.4.peg.23|HMPREF0189_02320	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.24|HMPREF0189_02321	MF	GO:0047362	thiosulfate-dithiol sulfurtransferase activity
fig|469610.4.peg.24|HMPREF0189_02321	BP	GO:0022900	electron transport chain
fig|469610.4.peg.24|HMPREF0189_02321	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.25|HMPREF0189_02322	MF	GO:0043546	molybdopterin cofactor binding
fig|469610.4.peg.25|HMPREF0189_02322	BP	GO:0055114	oxidation-reduction process
fig|469610.4.peg.27|HMPREF0189_02323	MF	GO:0000155	phosphorelay sensor kinase activity
fig|469610.4.peg.27|HMPREF0189_02323	BP	GO:0023014	signal transduction by protein phosphorylation
fig|469610.4.peg.27|HMPREF0189_02323	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.28|HMPREF0189_02324	BP	GO:0000160	phosphorelay signal transduction system
fig|469610.4.peg.28|HMPREF0189_02324	MF	GO:0003677	DNA binding
fig|469610.4.peg.29|HMPREF0189_02325	MF	GO:0000104	succinate dehydrogenase activity
fig|469610.4.peg.29|HMPREF0189_02325	BP	GO:0055114	oxidation-reduction process
fig|469610.4.peg.29|HMPREF0189_02325	CC	GO:0016020	membrane
fig|469610.4.peg.31|HMPREF0189_02327	MF	GO:0016829	lyase activity
fig|469610.4.peg.31|HMPREF0189_02327	BP	GO:0006520	cellular amino acid metabolic process
fig|469610.4.peg.32|HMPREF0189_02328	MF	GO:0008235	metalloexopeptidase activity
fig|469610.4.peg.32|HMPREF0189_02328	BP	GO:0006508	proteolysis
fig|469610.4.peg.32|HMPREF0189_02328	CC	GO:0005737	cytoplasm
fig|469610.4.peg.33|HMPREF0189_02329	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.34|HMPREF0189_02330	MF	GO:0071949	FAD binding
fig|469610.4.peg.34|HMPREF0189_02330	BP	GO:0055114	oxidation-reduction process
fig|469610.4.peg.35|HMPREF0189_02331	MF	GO:0004067	asparaginase activity
fig|469610.4.peg.35|HMPREF0189_02331	BP	GO:0006520	cellular amino acid metabolic process
fig|469610.4.peg.36|HMPREF0189_02332	MF	GO:0004386	helicase activity
fig|469610.4.peg.38|HMPREF0189_02334	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.40|HMPREF0189_02336	MF	GO:0010181	FMN binding
fig|469610.4.peg.40|HMPREF0189_02336	BP	GO:0055114	oxidation-reduction process
fig|469610.4.peg.41|HMPREF0189_02337	MF	GO:0004067	asparaginase activity
fig|469610.4.peg.41|HMPREF0189_02337	BP	GO:0006528	asparagine metabolic process
fig|469610.4.peg.43|HMPREF0189_01319	MF	GO:0004844	uracil DNA N-glycosylase activity
fig|469610.4.peg.43|HMPREF0189_01319	BP	GO:0006284	base-excision repair
fig|469610.4.peg.43|HMPREF0189_01319	CC	GO:0005737	cytoplasm
fig|469610.4.peg.44|HMPREF0189_01320	MF	GO:0016791	phosphatase activity
fig|469610.4.peg.44|HMPREF0189_01320	BP	GO:0016311	dephosphorylation
fig|469610.4.peg.45|HMPREF0189_01321	MF	GO:0004750	ribulose-phosphate 3-epimerase activity
fig|469610.4.peg.45|HMPREF0189_01321	BP	GO:0006098	pentose-phosphate shunt
fig|469610.4.peg.46|HMPREF0189_01322	BP	GO:0009254	peptidoglycan turnover
fig|469610.4.peg.46|HMPREF0189_01322	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|469610.4.peg.46|HMPREF0189_01322	CC	GO:0019867	outer membrane
fig|469610.4.peg.47|HMPREF0189_01323	CC	GO:0042597	periplasmic space
fig|469610.4.peg.48|HMPREF0189_01324	CC	GO:0042597	periplasmic space
fig|469610.4.peg.48|HMPREF0189_01324	BP	GO:0045454	cell redox homeostasis
fig|469610.4.peg.48|HMPREF0189_01324	MF	GO:0016853	isomerase activity
fig|469610.4.peg.50|HMPREF0189_01326	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.50|HMPREF0189_01326	MF	GO:0022857	transmembrane transporter activity
fig|469610.4.peg.50|HMPREF0189_01326	BP	GO:0055085	transmembrane transport
fig|469610.4.peg.52|HMPREF0189_01328	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.53|HMPREF0189_01329	MF	GO:0008883	glutamyl-tRNA reductase activity
fig|469610.4.peg.53|HMPREF0189_01329	BP	GO:0006782	protoporphyrinogen IX biosynthetic process
fig|469610.4.peg.53|HMPREF0189_01329	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.54|HMPREF0189_01330	MF	GO:0016149	translation release factor activity, codon specific
fig|469610.4.peg.54|HMPREF0189_01330	BP	GO:0006415	translational termination
fig|469610.4.peg.54|HMPREF0189_01330	CC	GO:0005737	cytoplasm
fig|469610.4.peg.55|HMPREF0189_01331	MF	GO:0102559	protein-(glutamine-N5) methyltransferase activity
fig|469610.4.peg.55|HMPREF0189_01331	BP	GO:0018364	peptidyl-glutamine methylation
fig|469610.4.peg.55|HMPREF0189_01331	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.56|HMPREF0189_01332	MF	GO:0008233	peptidase activity
fig|469610.4.peg.56|HMPREF0189_01332	BP	GO:0006508	proteolysis
fig|469610.4.peg.57|HMPREF0189_01333	MF	GO:0016740	transferase activity
fig|469610.4.peg.57|HMPREF0189_01333	CC	GO:0005737	cytoplasm
fig|469610.4.peg.58|HMPREF0189_01334	MF	GO:0008381	mechanosensitive ion channel activity
fig|469610.4.peg.58|HMPREF0189_01334	CC	GO:0005887	integral component of plasma membrane
fig|469610.4.peg.58|HMPREF0189_01334	BP	GO:0034220	ion transmembrane transport
fig|469610.4.peg.60|HMPREF0189_01336	MF	GO:0016787	hydrolase activity
fig|469610.4.peg.62|HMPREF0189_01338	CC	GO:0005737	cytoplasm
fig|469610.4.peg.62|HMPREF0189_01338	MF	GO:0005524	ATP binding
fig|469610.4.peg.63|HMPREF0189_01339	MF	GO:0008641	ubiquitin-like modifier activating enzyme activity
fig|469610.4.peg.63|HMPREF0189_01339	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.65|HMPREF0189_01341	BP	GO:0055085	transmembrane transport
fig|469610.4.peg.65|HMPREF0189_01341	CC	GO:0016021	integral component of membrane
fig|469610.4.peg.65|HMPREF0189_01341	MF	GO:0005215	transporter activity
fig|469610.4.peg.66|HMPREF0189_01342	BP	GO:0000160	phosphorelay signal transduction system
