gene	ontology	GO_id	GO_name
fig|511680.4.peg.2|BcroD2_010100000015	BP	GO:0015074	DNA integration
fig|511680.4.peg.2|BcroD2_010100000015	MF	GO:0003676	nucleic acid binding
fig|511680.4.peg.4|BcroD2_010100000035	MF	GO:0004803	transposase activity
fig|511680.4.peg.4|BcroD2_010100000035	BP	GO:0006313	transposition, DNA-mediated
fig|511680.4.peg.6|BcroD2_010100000060	BP	GO:0009307	DNA restriction-modification system
fig|511680.4.peg.6|BcroD2_010100000060	MF	GO:0004519	endonuclease activity
fig|511680.4.peg.7|BcroD2_010100000065	MF	GO:0016757	transferase activity, transferring glycosyl groups
fig|511680.4.peg.8|BcroD2_010100000083	BP	GO:0071973	bacterial-type flagellum-dependent cell motility
fig|511680.4.peg.8|BcroD2_010100000083	MF	GO:0005198	structural molecule activity
fig|511680.4.peg.11|BcroD2_010100000108	MF	GO:0000155	phosphorelay sensor kinase activity
fig|511680.4.peg.11|BcroD2_010100000108	BP	GO:0018106	peptidyl-histidine phosphorylation
fig|511680.4.peg.11|BcroD2_010100000108	CC	GO:0016021	integral component of membrane
fig|511680.4.peg.12|BcroD2_010100000113	MF	GO:0015658	branched-chain amino acid transmembrane transporter activity
fig|511680.4.peg.12|BcroD2_010100000113	BP	GO:0015803	branched-chain amino acid transport
fig|511680.4.peg.13|BcroD2_010100000118	MF	GO:0016887	ATPase activity
fig|511680.4.peg.14|BcroD2_010100000123	MF	GO:0022857	transmembrane transporter activity
fig|511680.4.peg.14|BcroD2_010100000123	BP	GO:0055085	transmembrane transport
fig|511680.4.peg.14|BcroD2_010100000123	CC	GO:0005886	plasma membrane
fig|511680.4.peg.15|BcroD2_010100000128	MF	GO:0022857	transmembrane transporter activity
fig|511680.4.peg.15|BcroD2_010100000128	BP	GO:0055085	transmembrane transport
fig|511680.4.peg.15|BcroD2_010100000128	CC	GO:0005886	plasma membrane
fig|511680.4.peg.16|BcroD2_010100000133	BP	GO:0006865	amino acid transport
fig|511680.4.peg.17|BcroD2_010100000138	BP	GO:0000160	phosphorelay signal transduction system
fig|511680.4.peg.17|BcroD2_010100000138	MF	GO:0003677	DNA binding
fig|511680.4.peg.18|BcroD2_010100000143	CC	GO:0016021	integral component of membrane
fig|511680.4.peg.19|BcroD2_010100000148	CC	GO:0016021	integral component of membrane
fig|511680.4.peg.21|BcroD2_010100000158	MF	GO:0004518	nuclease activity
fig|511680.4.peg.21|BcroD2_010100000158	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|511680.4.peg.22|BcroD2_010100000163	BP	GO:0009306	protein secretion
fig|511680.4.peg.22|BcroD2_010100000163	CC	GO:0016020	membrane
fig|511680.4.peg.22|BcroD2_010100000163	MF	GO:0003909	DNA ligase activity
fig|511680.4.peg.24|BcroD2_010100000173	MF	GO:0004523	RNA-DNA hybrid ribonuclease activity
fig|511680.4.peg.24|BcroD2_010100000173	BP	GO:0006401	RNA catabolic process
fig|511680.4.peg.24|BcroD2_010100000173	CC	GO:0005737	cytoplasm
fig|511680.4.peg.25|BcroD2_010100000178	MF	GO:0005525	GTP binding
fig|511680.4.peg.25|BcroD2_010100000178	CC	GO:0005737	cytoplasm
fig|511680.4.peg.26|BcroD2_010100000183	MF	GO:0008236	serine-type peptidase activity
fig|511680.4.peg.26|BcroD2_010100000183	BP	GO:0006508	proteolysis
fig|511680.4.peg.26|BcroD2_010100000183	CC	GO:0016021	integral component of membrane
fig|511680.4.peg.27|BcroD2_010100000188	MF	GO:0003735	structural constituent of ribosome
fig|511680.4.peg.27|BcroD2_010100000188	BP	GO:0006412	translation
fig|511680.4.peg.27|BcroD2_010100000188	CC	GO:0005840	ribosome
fig|511680.4.peg.28|BcroD2_010100000193	MF	GO:0004516	nicotinate phosphoribosyltransferase activity
fig|511680.4.peg.28|BcroD2_010100000193	BP	GO:0046497	nicotinate nucleotide metabolic process
fig|511680.4.peg.29|BcroD2_010100000198	MF	GO:0016787	hydrolase activity
fig|511680.4.peg.30|BcroD2_010100000203	MF	GO:0016787	hydrolase activity
fig|511680.4.peg.31|BcroD2_010100000208	MF	GO:0052906	tRNA (guanine(37)-N(1))-methyltransferase activity
fig|511680.4.peg.31|BcroD2_010100000208	BP	GO:0030488	tRNA methylation
fig|511680.4.peg.31|BcroD2_010100000208	CC	GO:0005737	cytoplasm
fig|511680.4.peg.32|BcroD2_010100000213	MF	GO:0043022	ribosome binding
fig|511680.4.peg.32|BcroD2_010100000213	BP	GO:0042274	ribosomal small subunit biogenesis
fig|511680.4.peg.32|BcroD2_010100000213	CC	GO:0005840	ribosome
fig|511680.4.peg.33|BcroD2_010100000218	MF	GO:0003723	RNA binding
fig|511680.4.peg.34|BcroD2_010100000223	MF	GO:0003735	structural constituent of ribosome
fig|511680.4.peg.34|BcroD2_010100000223	BP	GO:0006412	translation
fig|511680.4.peg.34|BcroD2_010100000223	CC	GO:0005840	ribosome
fig|511680.4.peg.35|BcroD2_010100000228	MF	GO:0008312	7S RNA binding
fig|511680.4.peg.35|BcroD2_010100000228	CC	GO:0048500	signal recognition particle
fig|511680.4.peg.35|BcroD2_010100000228	BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
fig|511680.4.peg.36|BcroD2_010100000233	MF	GO:0003677	DNA binding
fig|511680.4.peg.37|BcroD2_010100000238	BP	GO:0006813	potassium ion transport
fig|511680.4.peg.37|BcroD2_010100000238	MF	GO:0008324	cation transmembrane transporter activity
fig|511680.4.peg.38|BcroD2_010100000243	MF	GO:0015379	potassium:chloride symporter activity
fig|511680.4.peg.38|BcroD2_010100000243	BP	GO:0071805	potassium ion transmembrane transport
fig|511680.4.peg.38|BcroD2_010100000243	CC	GO:0016021	integral component of membrane
fig|511680.4.peg.39|BcroD2_010100000248	MF	GO:0004794	L-threonine ammonia-lyase activity
fig|511680.4.peg.39|BcroD2_010100000248	BP	GO:0006567	threonine catabolic process
fig|511680.4.peg.40|BcroD2_010100000253	BP	GO:0006614	SRP-dependent cotranslational protein targeting to membrane
