gene	ontology	GO_id	GO_name
fig|1160721.7.peg.1|RBI_I00001	MF	GO:0003688	DNA replication origin binding
fig|1160721.7.peg.1|RBI_I00001	BP	GO:0006275	regulation of DNA replication
fig|1160721.7.peg.1|RBI_I00001	CC	GO:0005737	cytoplasm
fig|1160721.7.peg.2|RBI_I00002	CC	GO:0009360	DNA polymerase III complex
fig|1160721.7.peg.2|RBI_I00002	MF	GO:0008408	3-5 exonuclease activity
fig|1160721.7.peg.2|RBI_I00002	BP	GO:0071897	DNA biosynthetic process
fig|1160721.7.peg.3|RBI_I00003	MF	GO:0003723	RNA binding
fig|1160721.7.peg.4|RBI_I00004	MF	GO:0003697	single-stranded DNA binding
fig|1160721.7.peg.4|RBI_I00004	BP	GO:0009432	SOS response
fig|1160721.7.peg.4|RBI_I00004	CC	GO:0005737	cytoplasm
fig|1160721.7.peg.6|RBI_I00006	MF	GO:0061505	DNA topoisomerase II activity
fig|1160721.7.peg.6|RBI_I00006	BP	GO:0006265	DNA topological change
fig|1160721.7.peg.6|RBI_I00006	CC	GO:0005694	chromosome
fig|1160721.7.peg.7|RBI_I00007	CC	GO:0016021	integral component of membrane
fig|1160721.7.peg.8|RBI_I00008	MF	GO:0061505	DNA topoisomerase II activity
fig|1160721.7.peg.8|RBI_I00008	BP	GO:0006265	DNA topological change
fig|1160721.7.peg.8|RBI_I00008	CC	GO:0005694	chromosome
fig|1160721.7.peg.9|RBI_I00009	MF	GO:0004828	serine-tRNA ligase activity
fig|1160721.7.peg.9|RBI_I00009	BP	GO:0006434	seryl-tRNA aminoacylation
fig|1160721.7.peg.10|RBI_I00010	MF	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity
fig|1160721.7.peg.10|RBI_I00010	BP	GO:0043952	protein transport by the Sec complex
fig|1160721.7.peg.10|RBI_I00010	CC	GO:0005886	plasma membrane
fig|1160721.7.peg.11|RBI_I00011	MF	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity
fig|1160721.7.peg.11|RBI_I00011	BP	GO:0043952	protein transport by the Sec complex
fig|1160721.7.peg.11|RBI_I00011	CC	GO:0005886	plasma membrane
fig|1160721.7.peg.13|RBI_I00013	BP	GO:0006855	drug transmembrane transport
fig|1160721.7.peg.13|RBI_I00013	MF	GO:0015238	drug transmembrane transporter activity
fig|1160721.7.peg.13|RBI_I00013	CC	GO:0016021	integral component of membrane
fig|1160721.7.peg.14|RBI_I00014	MF	GO:0003938	IMP dehydrogenase activity
fig|1160721.7.peg.14|RBI_I00014	BP	GO:0006177	GMP biosynthetic process
fig|1160721.7.peg.15|RBI_I00015	CC	GO:0016021	integral component of membrane
fig|1160721.7.peg.16|RBI_I00016	MF	GO:0005506	iron ion binding
fig|1160721.7.peg.16|RBI_I00016	BP	GO:0098869	cellular oxidant detoxification
fig|1160721.7.peg.17|RBI_I00017	CC	GO:0016021	integral component of membrane
fig|1160721.7.peg.18|RBI_I00018	MF	GO:0051287	NAD binding
fig|1160721.7.peg.18|RBI_I00018	BP	GO:0055114	oxidation-reduction process
fig|1160721.7.peg.19|RBI_I00019	MF	GO:0004349	glutamate 5-kinase activity
fig|1160721.7.peg.19|RBI_I00019	BP	GO:0006561	proline biosynthetic process
fig|1160721.7.peg.19|RBI_I00019	CC	GO:0005737	cytoplasm
fig|1160721.7.peg.20|RBI_I00020	MF	GO:0004350	glutamate-5-semialdehyde dehydrogenase activity
fig|1160721.7.peg.20|RBI_I00020	BP	GO:0006561	proline biosynthetic process
fig|1160721.7.peg.20|RBI_I00020	CC	GO:0005737	cytoplasm
fig|1160721.7.peg.21|RBI_I00021	MF	GO:0051536	iron-sulfur cluster binding
fig|1160721.7.peg.22|RBI_I00022	MF	GO:0016987	sigma factor activity
fig|1160721.7.peg.22|RBI_I00022	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|1160721.7.peg.22|RBI_I00022	CC	GO:0016021	integral component of membrane
fig|1160721.7.peg.23|RBI_I00023	MF	GO:0016987	sigma factor activity
fig|1160721.7.peg.23|RBI_I00023	BP	GO:2000142	regulation of DNA-templated transcription, initiation
fig|1160721.7.peg.24|RBI_I00024	MF	GO:0004400	histidinol-phosphate transaminase activity
fig|1160721.7.peg.24|RBI_I00024	BP	GO:0000105	histidine biosynthetic process
fig|1160721.7.peg.25|RBI_I00025	MF	GO:0048472	threonine-phosphate decarboxylase activity
fig|1160721.7.peg.25|RBI_I00025	BP	GO:0015889	cobalamin transport
fig|1160721.7.peg.25|RBI_I00025	CC	GO:0005886	plasma membrane
fig|1160721.7.peg.26|RBI_I00026	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|1160721.7.peg.26|RBI_I00026	BP	GO:0005975	carbohydrate metabolic process
fig|1160721.7.peg.26|RBI_I00026	CC	GO:0016021	integral component of membrane
fig|1160721.7.peg.27|RBI_I00027	MF	GO:0016887	ATPase activity
fig|1160721.7.peg.27|RBI_I00027	CC	GO:0005840	ribosome
fig|1160721.7.peg.28|RBI_I00028	CC	GO:0016021	integral component of membrane
fig|1160721.7.peg.29|RBI_I00029	CC	GO:0016021	integral component of membrane
fig|1160721.7.peg.31|RBI_I00031	MF	GO:0030170	pyridoxal phosphate binding
fig|1160721.7.peg.31|RBI_I00031	BP	GO:0009058	biosynthetic process
fig|1160721.7.peg.32|RBI_I00032	MF	GO:0003677	DNA binding
fig|1160721.7.peg.33|RBI_I00033	MF	GO:0004252	serine-type endopeptidase activity
fig|1160721.7.peg.33|RBI_I00033	BP	GO:0006508	proteolysis
fig|1160721.7.peg.33|RBI_I00033	CC	GO:0016021	integral component of membrane
fig|1160721.7.peg.34|RBI_I00034	MF	GO:0016887	ATPase activity
fig|1160721.7.peg.34|RBI_I00034	BP	GO:0099132	ATP hydrolysis coupled cation transmembrane transport
fig|1160721.7.peg.35|RBI_I00035	MF	GO:0016887	ATPase activity
fig|1160721.7.peg.37|RBI_I00037	BP	GO:0055085	transmembrane transport
fig|1160721.7.peg.37|RBI_I00037	CC	GO:0005886	plasma membrane
fig|1160721.7.peg.38|RBI_I00038	BP	GO:0055085	transmembrane transport
fig|1160721.7.peg.38|RBI_I00038	CC	GO:0005886	plasma membrane
