gene	ontology	GO_id	GO_name
fig|658663.3.peg.1|HMPREF1002_00001	BP	GO:0045493	xylan catabolic process
fig|658663.3.peg.1|HMPREF1002_00001	MF	GO:0016798	hydrolase activity, acting on glycosyl bonds
fig|658663.3.peg.2|HMPREF1002_00002	MF	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds
fig|658663.3.peg.2|HMPREF1002_00002	BP	GO:0005975	carbohydrate metabolic process
fig|658663.3.peg.3|HMPREF1002_00004	BP	GO:0015074	DNA integration
fig|658663.3.peg.3|HMPREF1002_00004	MF	GO:0003677	DNA binding
fig|658663.3.peg.7|HMPREF1002_00008	MF	GO:0016779	nucleotidyltransferase activity
fig|658663.3.peg.8|HMPREF1002_00009	MF	GO:0016740	transferase activity
fig|658663.3.peg.13|HMPREF1002_00013	MF	GO:0016787	hydrolase activity
fig|658663.3.peg.15|HMPREF1002_00016	MF	GO:0016787	hydrolase activity
fig|658663.3.peg.15|HMPREF1002_00016	CC	GO:0016021	integral component of membrane
fig|658663.3.peg.16|HMPREF1002_00017	MF	GO:0043565	sequence-specific DNA binding
fig|658663.3.peg.17|HMPREF1002_00018	CC	GO:0030288	outer membrane-bounded periplasmic space
fig|658663.3.peg.17|HMPREF1002_00018	BP	GO:0055085	transmembrane transport
fig|658663.3.peg.18|HMPREF1002_00019	CC	GO:0016021	integral component of membrane
fig|658663.3.peg.18|HMPREF1002_00019	MF	GO:0016301	kinase activity
fig|658663.3.peg.18|HMPREF1002_00019	BP	GO:0016310	phosphorylation
fig|658663.3.peg.19|HMPREF1002_00020	CC	GO:0016021	integral component of membrane
fig|658663.3.peg.20|HMPREF1002_00021	MF	GO:0008927	mannonate dehydratase activity
fig|658663.3.peg.20|HMPREF1002_00021	BP	GO:0006064	glucuronate catabolic process
fig|658663.3.peg.21|HMPREF1002_00022	MF	GO:0050090	mannuronate reductase activity
fig|658663.3.peg.21|HMPREF1002_00022	BP	GO:0055114	oxidation-reduction process
fig|658663.3.peg.22|HMPREF1002_00023	BP	GO:0006355	regulation of transcription, DNA-templated
fig|658663.3.peg.22|HMPREF1002_00023	MF	GO:0003677	DNA binding
fig|658663.3.peg.23|HMPREF1002_00024	CC	GO:0016021	integral component of membrane
fig|658663.3.peg.25|HMPREF1002_00025	MF	GO:0005215	transporter activity
fig|658663.3.peg.25|HMPREF1002_00025	BP	GO:0055085	transmembrane transport
fig|658663.3.peg.25|HMPREF1002_00025	CC	GO:0016020	membrane
fig|658663.3.peg.26|HMPREF1002_00026	MF	GO:0015562	efflux transmembrane transporter activity
fig|658663.3.peg.26|HMPREF1002_00026	BP	GO:0006855	drug transmembrane transport
fig|658663.3.peg.26|HMPREF1002_00026	CC	GO:0016021	integral component of membrane
fig|658663.3.peg.27|HMPREF1002_00027	MF	GO:0015562	efflux transmembrane transporter activity
fig|658663.3.peg.27|HMPREF1002_00027	BP	GO:0055085	transmembrane transport
fig|658663.3.peg.27|HMPREF1002_00027	CC	GO:0005886	plasma membrane
fig|658663.3.peg.28|HMPREF1002_00028	MF	GO:0008780	acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity
fig|658663.3.peg.28|HMPREF1002_00028	BP	GO:0009245	lipid A biosynthetic process
fig|658663.3.peg.28|HMPREF1002_00028	CC	GO:0005737	cytoplasm
fig|658663.3.peg.31|HMPREF1002_04366	BP	GO:0006355	regulation of transcription, DNA-templated
fig|658663.3.peg.32|HMPREF1002_00031	MF	GO:0005524	ATP binding
fig|658663.3.peg.33|HMPREF1002_00032	MF	GO:0030060	L-malate dehydrogenase activity
fig|658663.3.peg.33|HMPREF1002_00032	BP	GO:0006099	tricarboxylic acid cycle
fig|658663.3.peg.38|HMPREF1002_04371	CC	GO:0016021	integral component of membrane
fig|658663.3.peg.39|HMPREF1002_00036	BP	GO:0006364	rRNA processing
fig|658663.3.peg.39|HMPREF1002_00036	MF	GO:0008168	methyltransferase activity
fig|658663.3.peg.39|HMPREF1002_00036	CC	GO:0005737	cytoplasm
fig|658663.3.peg.40|HMPREF1002_00037	MF	GO:0008408	3-5 exonuclease activity
fig|658663.3.peg.40|HMPREF1002_00037	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|658663.3.peg.41|HMPREF1002_00038	BP	GO:0007166	cell surface receptor signaling pathway
fig|658663.3.peg.41|HMPREF1002_00038	MF	GO:0004888	transmembrane signaling receptor activity
fig|658663.3.peg.41|HMPREF1002_00038	CC	GO:0016020	membrane
fig|658663.3.peg.42|HMPREF1002_00039	CC	GO:0016021	integral component of membrane
fig|658663.3.peg.43|HMPREF1002_00040	MF	GO:0051536	iron-sulfur cluster binding
fig|658663.3.peg.43|HMPREF1002_00040	BP	GO:0055114	oxidation-reduction process
fig|658663.3.peg.43|HMPREF1002_00040	CC	GO:0016021	integral component of membrane
fig|658663.3.peg.44|HMPREF1002_00041	MF	GO:0051536	iron-sulfur cluster binding
fig|658663.3.peg.44|HMPREF1002_00041	BP	GO:0055114	oxidation-reduction process
fig|658663.3.peg.44|HMPREF1002_00041	CC	GO:0016021	integral component of membrane
fig|658663.3.peg.45|HMPREF1002_00042	CC	GO:0016021	integral component of membrane
fig|658663.3.peg.46|HMPREF1002_00043	BP	GO:0007059	chromosome segregation
fig|658663.3.peg.46|HMPREF1002_00043	MF	GO:0003677	DNA binding
fig|658663.3.peg.46|HMPREF1002_00043	CC	GO:0005886	plasma membrane
fig|658663.3.peg.48|HMPREF1002_00045	MF	GO:0004791	thioredoxin-disulfide reductase activity
fig|658663.3.peg.48|HMPREF1002_00045	BP	GO:0019430	removal of superoxide radicals
fig|658663.3.peg.48|HMPREF1002_00045	CC	GO:0005737	cytoplasm
fig|658663.3.peg.49|HMPREF1002_00046	MF	GO:0008889	glycerophosphodiester phosphodiesterase activity
