gene	ontology	GO_id	GO_name
fig|1501391.3.peg.2|LG35_00010	MF	GO:0004618	phosphoglycerate kinase activity
fig|1501391.3.peg.2|LG35_00010	BP	GO:0006096	glycolytic process
fig|1501391.3.peg.2|LG35_00010	CC	GO:0005737	cytoplasm
fig|1501391.3.peg.4|LG35_00015	MF	GO:0008890	glycine C-acetyltransferase activity
fig|1501391.3.peg.4|LG35_00015	BP	GO:0019518	L-threonine catabolic process to glycine
fig|1501391.3.peg.5|LG35_00020	MF	GO:0043565	sequence-specific DNA binding
fig|1501391.3.peg.5|LG35_00020	BP	GO:0006355	regulation of transcription, DNA-templated
fig|1501391.3.peg.6|LG35_00025	MF	GO:0070497	6-carboxy-5,6,7,8-tetrahydropterin synthase activity
fig|1501391.3.peg.6|LG35_00025	BP	GO:0008616	queuosine biosynthetic process
fig|1501391.3.peg.7|LG35_00030	MF	GO:0008408	3-5 exonuclease activity
fig|1501391.3.peg.7|LG35_00030	BP	GO:0006261	DNA-dependent DNA replication
fig|1501391.3.peg.7|LG35_00030	CC	GO:0016021	integral component of membrane
fig|1501391.3.peg.8|LG35_00035	MF	GO:0043908	Ser(Gly)-tRNA(Ala) hydrolase activity
fig|1501391.3.peg.8|LG35_00035	BP	GO:0019478	D-amino acid catabolic process
fig|1501391.3.peg.8|LG35_00035	CC	GO:0005737	cytoplasm
fig|1501391.3.peg.9|LG35_00040	MF	GO:0004725	protein tyrosine phosphatase activity
fig|1501391.3.peg.9|LG35_00040	BP	GO:0035335	peptidyl-tyrosine dephosphorylation
fig|1501391.3.peg.9|LG35_00040	CC	GO:0016021	integral component of membrane
fig|1501391.3.peg.13|LG35_00055	MF	GO:0030145	manganese ion binding
fig|1501391.3.peg.13|LG35_00055	BP	GO:0006508	proteolysis
fig|1501391.3.peg.15|LG35_00065	CC	GO:0005886	plasma membrane
fig|1501391.3.peg.15|LG35_00065	MF	GO:0004812	aminoacyl-tRNA ligase activity
fig|1501391.3.peg.17|LG35_00075	MF	GO:0004852	uroporphyrinogen-III synthase activity
fig|1501391.3.peg.17|LG35_00075	BP	GO:0006780	uroporphyrinogen III biosynthetic process
fig|1501391.3.peg.18|LG35_00080	CC	GO:0016021	integral component of membrane
fig|1501391.3.peg.19|LG35_00085	MF	GO:0016301	kinase activity
fig|1501391.3.peg.19|LG35_00085	BP	GO:0016310	phosphorylation
fig|1501391.3.peg.19|LG35_00085	CC	GO:0016021	integral component of membrane
fig|1501391.3.peg.20|LG35_00090	MF	GO:0008236	serine-type peptidase activity
fig|1501391.3.peg.20|LG35_00090	BP	GO:0006508	proteolysis
fig|1501391.3.peg.20|LG35_00090	CC	GO:0016021	integral component of membrane
fig|1501391.3.peg.21|LG35_00095	CC	GO:0016021	integral component of membrane
fig|1501391.3.peg.22|LG35_00100	MF	GO:0051745	4-hydroxy-3-methylbut-2-en-1-yl diphosphate reductase activity
fig|1501391.3.peg.22|LG35_00100	BP	GO:0050992	dimethylallyl diphosphate biosynthetic process
fig|1501391.3.peg.23|LG35_00105	MF	GO:0004127	cytidylate kinase activity
fig|1501391.3.peg.23|LG35_00105	BP	GO:0046940	nucleoside monophosphate phosphorylation
fig|1501391.3.peg.23|LG35_00105	CC	GO:0005737	cytoplasm
fig|1501391.3.peg.24|LG35_00110	BP	GO:0006865	amino acid transport
fig|1501391.3.peg.24|LG35_00110	CC	GO:0005886	plasma membrane
fig|1501391.3.peg.27|LG35_00125	BP	GO:0042158	lipoprotein biosynthetic process
fig|1501391.3.peg.27|LG35_00125	MF	GO:0016410	N-acyltransferase activity
fig|1501391.3.peg.27|LG35_00125	CC	GO:0005886	plasma membrane
fig|1501391.3.peg.28|LG35_00130	MF	GO:0004326	tetrahydrofolylpolyglutamate synthase activity
fig|1501391.3.peg.28|LG35_00130	BP	GO:0046901	tetrahydrofolylpolyglutamate biosynthetic process
fig|1501391.3.peg.29|LG35_00135	MF	GO:0019104	DNA N-glycosylase activity
fig|1501391.3.peg.29|LG35_00135	BP	GO:0006284	base-excision repair
fig|1501391.3.peg.31|LG35_00145	BP	GO:0046417	chorismate metabolic process
fig|1501391.3.peg.31|LG35_00145	MF	GO:0016740	transferase activity
fig|1501391.3.peg.32|LG35_00155	MF	GO:0009378	four-way junction helicase activity
fig|1501391.3.peg.32|LG35_00155	BP	GO:0009432	SOS response
fig|1501391.3.peg.34|LG35_00165	CC	GO:0016021	integral component of membrane
fig|1501391.3.peg.35	CC	GO:0016021	integral component of membrane
fig|1501391.3.peg.36|LG35_00175	BP	GO:0042121	alginic acid biosynthetic process
fig|1501391.3.peg.36|LG35_00175	MF	GO:0016746	transferase activity, transferring acyl groups
fig|1501391.3.peg.36|LG35_00175	CC	GO:0016021	integral component of membrane
fig|1501391.3.peg.37	CC	GO:0016021	integral component of membrane
fig|1501391.3.peg.40|LG35_00195	MF	GO:0004654	polyribonucleotide nucleotidyltransferase activity
fig|1501391.3.peg.40|LG35_00195	BP	GO:0006402	mRNA catabolic process
fig|1501391.3.peg.40|LG35_00195	CC	GO:0005737	cytoplasm
fig|1501391.3.peg.41|LG35_00200	MF	GO:0019843	rRNA binding
fig|1501391.3.peg.41|LG35_00200	BP	GO:0006412	translation
fig|1501391.3.peg.41|LG35_00200	CC	GO:0005840	ribosome
fig|1501391.3.peg.43|LG35_00210	MF	GO:0008233	peptidase activity
fig|1501391.3.peg.43|LG35_00210	BP	GO:0006508	proteolysis
fig|1501391.3.peg.43|LG35_00210	CC	GO:0016021	integral component of membrane
fig|1501391.3.peg.44|LG35_00215	BP	GO:0017013	protein flavinylation
fig|1501391.3.peg.44|LG35_00215	MF	GO:0046872	metal ion binding
fig|1501391.3.peg.45|LG35_00225	MF	GO:0016491	oxidoreductase activity
fig|1501391.3.peg.45|LG35_00225	BP	GO:0055114	oxidation-reduction process
fig|1501391.3.peg.45|LG35_00225	CC	GO:0005829	cytosol
fig|1501391.3.peg.46|LG35_00230	MF	GO:0003951	NAD+ kinase activity
fig|1501391.3.peg.46|LG35_00230	BP	GO:0016310	phosphorylation
fig|1501391.3.peg.47|LG35_00240	BP	GO:0015031	protein transport
fig|1501391.3.peg.47|LG35_00240	MF	GO:0022857	transmembrane transporter activity
fig|1501391.3.peg.47|LG35_00240	CC	GO:0005886	plasma membrane
fig|1501391.3.peg.48|LG35_00245	BP	GO:0015031	protein transport
fig|1501391.3.peg.48|LG35_00245	MF	GO:0022857	transmembrane transporter activity
fig|1501391.3.peg.48|LG35_00245	CC	GO:0005886	plasma membrane
