gene	ontology	GO_id	GO_name
fig|657318.4.peg.228|EUR_00110	MF	GO:0004034	aldose 1-epimerase activity
fig|657318.4.peg.228|EUR_00110	BP	GO:0019318	hexose metabolic process
fig|657318.4.peg.229|EUR_00130	MF	GO:0051287	NAD binding
fig|657318.4.peg.229|EUR_00130	BP	GO:0055114	oxidation-reduction process
fig|657318.4.peg.230|EUR_00140	MF	GO:0008484	sulfuric ester hydrolase activity
fig|657318.4.peg.230|EUR_00140	CC	GO:0016021	integral component of membrane
fig|657318.4.peg.231|EUR_00150	MF	GO:0016787	hydrolase activity
fig|657318.4.peg.231|EUR_00150	BP	GO:0016311	dephosphorylation
fig|657318.4.peg.232|EUR_00160	MF	GO:0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity
fig|657318.4.peg.232|EUR_00160	BP	GO:0034219	carbohydrate transmembrane transport
fig|657318.4.peg.233|EUR_00170	MF	GO:0016740	transferase activity
fig|657318.4.peg.233|EUR_00170	BP	GO:0008643	carbohydrate transport
fig|657318.4.peg.234|EUR_00180	MF	GO:0008965	phosphoenolpyruvate-protein phosphotransferase activity
fig|657318.4.peg.234|EUR_00180	BP	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system
fig|657318.4.peg.234|EUR_00180	CC	GO:0005737	cytoplasm
fig|657318.4.peg.235|EUR_00190	MF	GO:0005524	ATP binding
fig|657318.4.peg.235|EUR_00190	BP	GO:0090305	nucleic acid phosphodiester bond hydrolysis
fig|657318.4.peg.236|EUR_00200	BP	GO:0000160	phosphorelay signal transduction system
fig|657318.4.peg.236|EUR_00200	MF	GO:0003677	DNA binding
fig|657318.4.peg.237	MF	GO:0000155	phosphorelay sensor kinase activity
fig|657318.4.peg.237	BP	GO:0023014	signal transduction by protein phosphorylation
fig|657318.4.peg.237	CC	GO:0016021	integral component of membrane
fig|657318.4.peg.238|EUR_00220	CC	GO:0016021	integral component of membrane
fig|657318.4.peg.239|EUR_00230	CC	GO:0016021	integral component of membrane
fig|657318.4.peg.240|EUR_00240	MF	GO:0016887	ATPase activity
fig|657318.4.peg.240|EUR_00240	BP	GO:0017004	cytochrome complex assembly
fig|657318.4.peg.241|EUR_00250	CC	GO:0016021	integral component of membrane
fig|657318.4.peg.242|EUR_00260	MF	GO:0016887	ATPase activity
fig|657318.4.peg.242|EUR_00260	BP	GO:0042953	lipoprotein transport
fig|657318.4.peg.242|EUR_00260	CC	GO:0005886	plasma membrane
fig|657318.4.peg.243|EUR_00270	CC	GO:0016021	integral component of membrane
fig|657318.4.peg.244|EUR_00280	BP	GO:0000160	phosphorelay signal transduction system
fig|657318.4.peg.244|EUR_00280	MF	GO:0003677	DNA binding
fig|657318.4.peg.245	MF	GO:0000155	phosphorelay sensor kinase activity
fig|657318.4.peg.245	BP	GO:0023014	signal transduction by protein phosphorylation
fig|657318.4.peg.245	CC	GO:0016021	integral component of membrane
fig|657318.4.peg.247|EUR_00310	CC	GO:0009421	bacterial-type flagellum filament cap
fig|657318.4.peg.247|EUR_00310	BP	GO:0071973	bacterial-type flagellum-dependent cell motility
fig|657318.4.peg.248	MF	GO:0003735	structural constituent of ribosome
fig|657318.4.peg.248	BP	GO:0006412	translation
fig|657318.4.peg.248	CC	GO:0005840	ribosome
fig|657318.4.peg.249|EUR_00330	MF	GO:0015450	P-P-bond-hydrolysis-driven protein transmembrane transporter activity
fig|657318.4.peg.249|EUR_00330	BP	GO:0006605	protein targeting
fig|657318.4.peg.249|EUR_00330	CC	GO:0005886	plasma membrane
fig|657318.4.peg.250|EUR_00340	BP	GO:0006354	DNA-templated transcription, elongation
fig|657318.4.peg.251|EUR_00350	MF	GO:0070180	large ribosomal subunit rRNA binding
fig|657318.4.peg.251|EUR_00350	BP	GO:0006412	translation
fig|657318.4.peg.251|EUR_00350	CC	GO:0005840	ribosome
fig|657318.4.peg.252|EUR_00360	BP	GO:0006417	regulation of translation
fig|657318.4.peg.252|EUR_00360	CC	GO:0015934	large ribosomal subunit
fig|657318.4.peg.252|EUR_00360	MF	GO:0000049	tRNA binding
fig|657318.4.peg.253	MF	GO:0070180	large ribosomal subunit rRNA binding
fig|657318.4.peg.253	BP	GO:0042254	ribosome biogenesis
fig|657318.4.peg.253	CC	GO:0005840	ribosome
fig|657318.4.peg.254|EUR_00380	MF	GO:0003735	structural constituent of ribosome
fig|657318.4.peg.254|EUR_00380	BP	GO:0006412	translation
fig|657318.4.peg.254|EUR_00380	CC	GO:0005840	ribosome
fig|657318.4.peg.649|EUR_00390	MF	GO:0003899	DNA-directed 5-3 RNA polymerase activity
fig|657318.4.peg.649|EUR_00390	BP	GO:0006351	transcription, DNA-templated
fig|657318.4.peg.650|EUR_00400	MF	GO:0003899	DNA-directed 5-3 RNA polymerase activity
fig|657318.4.peg.650|EUR_00400	BP	GO:0006351	transcription, DNA-templated
fig|657318.4.peg.651|EUR_00410	CC	GO:0015935	small ribosomal subunit
fig|657318.4.peg.651|EUR_00410	MF	GO:0000049	tRNA binding
fig|657318.4.peg.651|EUR_00410	BP	GO:0006412	translation
fig|657318.4.peg.652	CC	GO:0015935	small ribosomal subunit
fig|657318.4.peg.652	MF	GO:0000049	tRNA binding
fig|657318.4.peg.652	BP	GO:0006412	translation
fig|657318.4.peg.653	MF	GO:0003746	translation elongation factor activity
fig|657318.4.peg.653	BP	GO:0006414	translational elongation
fig|657318.4.peg.653	CC	GO:0005737	cytoplasm
fig|657318.4.peg.654|EUR_00440	MF	GO:0003746	translation elongation factor activity
fig|657318.4.peg.654|EUR_00440	BP	GO:0006414	translational elongation
fig|657318.4.peg.654|EUR_00440	CC	GO:0005737	cytoplasm
fig|657318.4.peg.656|EUR_00470	MF	GO:0051539	4 iron, 4 sulfur cluster binding
fig|657318.4.peg.657|EUR_00480	BP	GO:0042891	antibiotic transport
fig|657318.4.peg.657|EUR_00480	CC	GO:0016021	integral component of membrane
fig|657318.4.peg.903|EUR_00540	BP	GO:0006935	chemotaxis
fig|657318.4.peg.903|EUR_00540	MF	GO:0004888	transmembrane signaling receptor activity
fig|657318.4.peg.903|EUR_00540	CC	GO:0016021	integral component of membrane
fig|657318.4.peg.906	MF	GO:0003697	single-stranded DNA binding
fig|657318.4.peg.906	BP	GO:0006281	DNA repair
fig|657318.4.peg.906	CC	GO:0005737	cytoplasm
fig|657318.4.peg.907|EUR_00580	MF	GO:0016740	transferase activity
fig|657318.4.peg.908|EUR_00590	CC	GO:0016021	integral component of membrane
fig|657318.4.peg.909|EUR_00600	MF	GO:0008889	glycerophosphodiester phosphodiesterase activity
fig|657318.4.peg.909|EUR_00600	BP	GO:0006629	lipid metabolic process
fig|657318.4.peg.912	BP	GO:0006799	polyphosphate biosynthetic process
fig|657318.4.peg.912	MF	GO:0008976	polyphosphate kinase activity
fig|657318.4.peg.912	CC	GO:0009358	polyphosphate kinase complex
fig|657318.4.peg.913|EUR_00640	MF	GO:0002161	aminoacyl-tRNA editing activity
fig|657318.4.peg.913|EUR_00640	BP	GO:0106074	aminoacyl-tRNA metabolism involved in translational fidelity
fig|657318.4.peg.914|EUR_00650	MF	GO:0004830	tryptophan-tRNA ligase activity
fig|657318.4.peg.914|EUR_00650	BP	GO:0006436	tryptophanyl-tRNA aminoacylation
fig|657318.4.peg.914|EUR_00650	CC	GO:0005737	cytoplasm
fig|657318.4.peg.915|EUR_00660	MF	GO:0046873	metal ion transmembrane transporter activity
fig|657318.4.peg.915|EUR_00660	BP	GO:0030001	metal ion transport
fig|657318.4.peg.915|EUR_00660	CC	GO:0016021	integral component of membrane
fig|657318.4.peg.916|EUR_00670	BP	GO:0006364	rRNA processing
fig|657318.4.peg.916|EUR_00670	MF	GO:0008168	methyltransferase activity
fig|657318.4.peg.916|EUR_00670	CC	GO:0005737	cytoplasm
fig|657318.4.peg.917|EUR_00680	MF	GO:0000049	tRNA binding
fig|657318.4.peg.917|EUR_00680	BP	GO:0006412	translation
fig|657318.4.peg.917|EUR_00680	CC	GO:0005840	ribosome
fig|657318.4.peg.918|EUR_00690	MF	GO:0019843	rRNA binding
fig|657318.4.peg.918|EUR_00690	BP	GO:0006412	translation
fig|657318.4.peg.918|EUR_00690	CC	GO:0005840	ribosome
fig|657318.4.peg.919|EUR_00700	MF	GO:0019843	rRNA binding
fig|657318.4.peg.919|EUR_00700	BP	GO:0006412	translation
fig|657318.4.peg.919|EUR_00700	CC	GO:0005840	ribosome
fig|657318.4.peg.920|EUR_00710	MF	GO:0019843	rRNA binding
fig|657318.4.peg.920|EUR_00710	BP	GO:0006412	translation
fig|657318.4.peg.920|EUR_00710	CC	GO:0005840	ribosome
fig|657318.4.peg.921|EUR_00720	CC	GO:0015934	large ribosomal subunit
fig|657318.4.peg.921|EUR_00720	MF	GO:0019843	rRNA binding
fig|657318.4.peg.921|EUR_00720	BP	GO:0006412	translation
fig|657318.4.peg.922|EUR_00730	CC	GO:0015935	small ribosomal subunit
fig|657318.4.peg.922|EUR_00730	MF	GO:0019843	rRNA binding
fig|657318.4.peg.922|EUR_00730	BP	GO:0006412	translation
fig|657318.4.peg.923|EUR_00740	CC	GO:0015934	large ribosomal subunit
fig|657318.4.peg.923|EUR_00740	MF	GO:0019843	rRNA binding
fig|657318.4.peg.923|EUR_00740	BP	GO:0006412	translation
fig|657318.4.peg.924|EUR_00750	MF	GO:0003729	mRNA binding
fig|657318.4.peg.924|EUR_00750	CC	GO:0015935	small ribosomal subunit
fig|657318.4.peg.924|EUR_00750	BP	GO:0006412	translation
fig|657318.4.peg.925|EUR_00760	MF	GO:0000049	tRNA binding
fig|657318.4.peg.925|EUR_00760	BP	GO:0006412	translation
fig|657318.4.peg.925|EUR_00760	CC	GO:0005840	ribosome
fig|657318.4.peg.926|EUR_00770	MF	GO:0003735	structural constituent of ribosome
fig|657318.4.peg.926|EUR_00770	BP	GO:0006412	translation
fig|657318.4.peg.926|EUR_00770	CC	GO:0005840	ribosome
fig|657318.4.peg.927	MF	GO:0019843	rRNA binding
fig|657318.4.peg.927	BP	GO:0006412	translation
fig|657318.4.peg.927	CC	GO:0005840	ribosome
fig|657318.4.peg.928|EUR_00790	CC	GO:0015934	large ribosomal subunit
fig|657318.4.peg.928|EUR_00790	MF	GO:0019843	rRNA binding
fig|657318.4.peg.928|EUR_00790	BP	GO:0006412	translation
fig|657318.4.peg.929|EUR_00800	MF	GO:0019843	rRNA binding
fig|657318.4.peg.929|EUR_00800	BP	GO:0006412	translation
fig|657318.4.peg.929|EUR_00800	CC	GO:0005840	ribosome
fig|657318.4.peg.930	MF	GO:0000049	tRNA binding
fig|657318.4.peg.930	BP	GO:0006412	translation
fig|657318.4.peg.930	CC	GO:0005840	ribosome
fig|657318.4.peg.931|EUR_00820	MF	GO:0019843	rRNA binding
fig|657318.4.peg.931|EUR_00820	BP	GO:0006412	translation
fig|657318.4.peg.931|EUR_00820	CC	GO:0005840	ribosome
fig|657318.4.peg.932|EUR_00830	MF	GO:0019843	rRNA binding
fig|657318.4.peg.932|EUR_00830	BP	GO:0006412	translation
fig|657318.4.peg.932|EUR_00830	CC	GO:0005840	ribosome
fig|657318.4.peg.933|EUR_00840	MF	GO:0019843	rRNA binding
fig|657318.4.peg.933|EUR_00840	BP	GO:0006412	translation
fig|657318.4.peg.933|EUR_00840	CC	GO:0005840	ribosome
fig|657318.4.peg.934|EUR_00850	MF	GO:0019843	rRNA binding
fig|657318.4.peg.934|EUR_00850	BP	GO:0006412	translation
fig|657318.4.peg.934|EUR_00850	CC	GO:0005840	ribosome
fig|657318.4.peg.935|EUR_00860	CC	GO:0015935	small ribosomal subunit
fig|657318.4.peg.935|EUR_00860	MF	GO:0019843	rRNA binding
fig|657318.4.peg.935|EUR_00860	BP	GO:0006412	translation
fig|657318.4.peg.936|EUR_00870	CC	GO:0015934	large ribosomal subunit
fig|657318.4.peg.936|EUR_00870	MF	GO:0003735	structural constituent of ribosome
fig|657318.4.peg.936|EUR_00870	BP	GO:0006412	translation
fig|657318.4.peg.937|EUR_00880	CC	GO:0015934	large ribosomal subunit
fig|657318.4.peg.937|EUR_00880	MF	GO:0019843	rRNA binding
fig|657318.4.peg.937|EUR_00880	BP	GO:0006412	translation
fig|657318.4.peg.938|EUR_00890	BP	GO:0043952	protein transport by the Sec complex
fig|657318.4.peg.938|EUR_00890	CC	GO:0005886	plasma membrane
fig|657318.4.peg.939|EUR_00900	MF	GO:0004017	adenylate kinase activity
fig|657318.4.peg.939|EUR_00900	BP	GO:0044209	AMP salvage
fig|657318.4.peg.939|EUR_00900	CC	GO:0005737	cytoplasm
